OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
66,2018,CT6920-00_02,Little River (Seymour)-02,"From Swans Pond INLET (segment 1 includes Swans Pond), US to confluence with Riggs Street Brook (just US of Oxford Road (Route 67) crossing), Oxford.",2.96,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,15643.8338772143
67,2018,CT6920-00_03,Little River (Seymour)-03,"From confluence with Riggs Street Brook (just US of Oxford Road (Route 67) crossing), US to headwaters (US of North Larkey Road crossing), southeast side of Waterbury/Oxford Airport, Oxford.",4.49,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,23686.5350702718
68,2018,CT6920-03_01,Jacks Brook (Oxford)-01,"Mouth at Little River, just DS of Route 67 crossing, US to confluence with Riggs Street Brook, parallel to Riggs Street at Cedar Lane intersection, Oxford.",0.62,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3285.38984917611
69,2018,CT7200-00_03,Saugatuck River (Redding)-03,"INLET Saugatuck Reservoir, Newtown Turnpike (Route 53) crossing, US to confluence Bogus Mountain Brook (US Redding Road (Route 53) crossing, and parallel Station Road), Redding.",4.36,Miles,RIVER,01100006,Saugatuck,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,23023.4593041624
70,2018,CT7200-00_04,Saugatuck River-04,"From confluence with Bogus Mountain Brook (US of Redding Road (Route 53) crossing, and parallel to Station Road), Redding, US to headwaters, at Wataba Lake outlet dam (just US of Mountain Road crossing), Ridgefield.",5.53,Miles,RIVER,01100006,Saugatuck,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,X,UNASSESSED,No,29209.1453096001
71,2018,CT7200-03_01,Umpawaug Pond Brook (Redding)-01,"Mouth on Saugatuck River, DS of Simpaug Turnpike crossing, US to HW above Steichens Ponds, just US of Old Redding Road crossing, Redding.",2.98,Miles,RIVER,01100006,Saugatuck,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,X,UNASSESSED,No,15729.8102036503
72,2018,CT7200-19_01,Hawleys Brook (Weston/Easton)-01,"Mouth at confluence Saugatuck River in Devils Glen Park DS Valley Forge Road crossing, Weston, US into Trout Brook Valley (DEEP property) Trout management area to HW (no roads or access points), Easton. (Between Saugatuck Reservoir and Route 58)",2.1,Miles,RIVER,01100006,Saugatuck,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,11105.111953287
73,2018,CT6909-03_01,Humaston Brook (Litchfield)-01,"Mouth at Confluence Turner Brook making HW of Northfield Brook, US of Knife Shop Rd crossing, Us to Northfield Pond OUTLET, Litchfield. (NOTE: CT Hydrology layer continues name Northfield Brook up to Northfield Pond, this portion is Humaston with basin nu",0.35,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,No,1850.93931905296
74,2018,CT6910-01_01,Wigmam Brook (Litchfield)-01,"Mouth at INLET to Morris Reservoir on northest portion, Us north parallel along Route 254, unitl crossing then continuing to HW at unnamed pond US of Route 118 crossing, Litchfield. (NOTE: a pipline connects this stream to Pitch Reservoir above inlet to M",4.03,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,X,UNASSESSED,X,UNASSESSED,No,21286.8605205422
75,2018,CT6911-05_01,Todd Hollow Brook (Plymouth)-01,"Mouth at Confluence Hancock Brook, US of Hancock Brook Lake and west of end of Todd Hollow Rd, Us to HW at unnamed pond US of Harwinton Ave crossing (east of Thomaston Reservoir), Plymouth.",4.03,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,Yes,21292.6302247439
76,2018,CT6919-03_01,Hopp Brook (Bethany)-01,"Mouth at Confluence Bladens River near Bear Hill Rd and Route 67 intersection, US north of Hopp Brook Ln crossing to Bristols Pond OUTLET, Bethany. (NOTE: Bristols Pond water class changes to AA)",1.75,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,No,9238.91176516094
77,2018,CT2205-00_03,Pattagansett River (East Lyme)-03,"Pattagansett Lake INLET (northwest lobe of lake), US to Powers Lake dam OUTLET (just US Upper Pattagansett Road crossing), East Lyme.",0.95,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5029.35799172303
78,2018,CT2206-00_01,Bride Brook (East Lyme)-01,"Salt water limit, DS Route 156 crossing (near Rocky Neck State Park enterance), US to Bride Lake dam OUTLET (US North Bride Brook Road), East Lyme.",0.7,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3702.2700563479
79,2018,CT2206-00_02,Bride Brook (East Lyme)-02,"Bride Lake INLET (northwest portion, DS North Bride Brook Road crossing), US to HW (marsh area on south side Route 1), East Lyme.",2.13,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11243.2795181262
80,2018,CT2206-03_01,Unnamed tributary Bride Brook (East Lyme)-01,"Confluence Bride Brook (west side of river accross from York Corretional Institution), US (under I95 near exit 72 ramp, Rocky Neck Connector) to HW near Spring Rock Road and south of Plants Dam Road, East Lyme.",1.71,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9021.47040068294
81,2018,CT2207-00_01,Fourmile River (Old Lyme/East Lyme)-01,"Saltwater limit at US side Route 156 (Shore Road) crossing, US to US side I95 crossing (includes section under both lanes I95 and Exit 71 North ramp, but Exit 71 South ramp in segment-02), Old Lyme/East Lyme town line.",0.99,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5241.19799489434
82,2018,CT2207-00_02,Fourmile River (Old Lyme/East Lyme)-02,"US side I95 crossing (includes section under Exit 71 South ramp but not any part under I95 lanes), Old Lyme/East Lyme town line, US to Goodwins Pond OUTLET, just US Route 1 crossing, East Lyme.",1.72,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9080.96221225841
83,2018,CT2207-00_03,Fourmile River (East Lyme)-03,"Goodwins Pond INLET DS Stone Ranch Road crossing, US to HW south side Grassy Hill Road, west Upper Walnut Hill Road intersection (accross from 2 unamed road intersections), East Lyme.",5.89,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,31074.1849372323
84,2018,CT3000-02_01,Billings Avery Brook (Ledyard)-01,"Mouth at Thames River DS Route 12 crossing, US to AA water boundary US Daniels Lane crossing at outlet Billings Avery Diversion Dam,  Ledyard.",1.78,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9408.34532429608
85,2018,CT3000-08_01,Flat Brook (Ledyard)-01,"Mouth confluence Thames River (inlet Long Cove, North of Navy Base), Gales Ferry/Ledyard, US to HW at unnamed pond, Groton (Brook runs North).",1.09,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5780.81524158911
86,2018,CT3001-00_01,Trading Cove Brook-01,"Head of tide confluence Thames River (inlet Trading Cove, just DS from Route 32 crossing), Norwich/Montville town line, US to HW (in marsh just US Bozrah Road (Route 163) crossing), Montville.",7.24,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,38226.4296128504
87,2018,CT3003-01_01,Poquetanuck and Hewitt Brooks (Preston)-01,"Mouth of Poquetanuck Brook at confluence with Thames River, inlet to Poquetanuck Cove, just DS of Poquetanuck Road (Route 2A) crossing, US to confluence with Hewitt Brook, then CONTINUES US in Hewitt Brook to Hallville Pond outlet dam, Preston.",1.69,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8898.53380665057
88,2018,CT3502-06_01,Wood Brook (Plainfield/Sterling)-01,"Mouth Snake Meadow Brook at Demers Rd crossing, Plainfield, US to HW near Barber Rd, Sterling.",1.7,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8953.18947376395
89,2018,CT3503-00_01,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.5,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23741.2492636804
90,2018,CT3600-00_01,Pachaug River-01,"From mouth at confluence with Quinebaug River, Griswold,  US to Ashland Pond outlet (just US of Ashland Street crossing).",0.77,Miles,RIVER,01100001,Quinebaug,49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4078.16914329621
91,2018,CT3600-00_02,Pachaug River-02,"From Ashland Pond inlet (southeast portion, US of Norman Road crossing), US to Hopeville Pond outlet dam (DS of Edmund Road crossing), Griswold.",0.85,Miles,RIVER,01100001,Quinebaug,49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4483.50768885834
92,2018,CT3600-00_03,Pachaug River-03,"From inlet of Hopeville Pond at Bitgood Road crossing, US to Patchaug Pond outlet dam (US of Voluntown Road (Route83) crossing, Griswold.",1.99,Miles,RIVER,01100001,Quinebaug,49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10520.0567167937
93,2018,CT4016-01_01,Roaring Brook No 2 (Lyme/East Haddam)-01,"Mouth at confluence with Hungerford Brook, above Whalebone Creek, just DS of Day Hill Road crossing, Lyme, US to HW at Martin Pond outlet, just US of Mount Parnassus Road crossing, East Haddam.",5.2,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,27454.6896149134
94,2018,CT4016-10_01,Hungerford Brook (East Haddam)-01,"Mouth at confluence with Roaring Brook no2, above Whalebone Creek, near Day Hill Road crossing, US to HW pond between Mill Road and Petticoat Lane, East Haddam.",1.59,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8388.68700803397
95,2018,CT4016-11_01,Hemlock Valley Brook (Lyme/East Haddam)-01,"Mouth on CT-E1_031-SB estuary portion of Connecticut River, just DS of Route 148 crossing, Lyme, US to HW, just US of Bogel Road crossing, parallel to Smith Road, East Haddam.  ",4.9,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,25886.7332533906
96,2018,CT3710-00_01,Mashamoquet Brook-01,"From mouth at confluence with Quinebaug River (parallel to Route 101 on north side), US to confluence with Wolf Den Brook (US of Route 101 crossing), Pomfret.",3.06,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16157.2321595036
97,2018,CT3710-00_02,Mashamoquet Brook (Pomfret)-02,"Confluence Wolf Den Brook (just US Route 101 crossing), US to Taft Pond outlet dam (US Taft Pond Road crossing), Pomfret. Includes diversion to swimming pond in Mashamoquet State Park.",4.36,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23035.101242336
98,2018,CT3710-01_01,Cemetery Brook (Pomfret)-01,"Mouth confluence Nightingale Brook (near Taft Pond Road crossing), US to HW in marsh (US Chase Hill Road crossing), Pomfret.",1.14,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6013.39259457314
99,2018,CT3710-02_01,Angel Brook (Pomfret/Woodstock)-01,"Mouth INLET to Nightingale Pond .7 mile DS Johnson Road crossing, Pomfret, US to HW, US Tyott Road crossing, Woodstock.",1.44,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7579.42997041514
100,2018,CT3710-05_01,Nightingale Brook (Pomfret)-01,"Mouth confluence Cemetery Brook, above Mashamoquet Brook, just US Taft Pond Road crossing, US to Nightingale Pond OUTLET, just US Route 244 crossing, Pomfret.",1.48,Miles,RIVER,01100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7789.01997334995
101,2018,CT4011-02_01,Buck Brook (Portland)-01,"Mouth at inlet to Portland Reservoir, just DS of Reservoir Rd crossing, US to HW (near Glastonbury town line) parallel to the east along Clark Hill Rd, Portland. ",1.8,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9728.52832358238
102,2018,CT3107-00_01,Burnap Brook (Andover)-01,"Mouth at confluence with Hop River, .6 miles DS for Route 6 crossing, US to confluence with unnamed tributary .5 miles US of Route 6 crossing, parallel to Burnap Brook Road (unnamed tributary crosses Burnap Brook Roak perpendicular), Andover.",1.1,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5783.11688587208
103,2018,CT3108-00_01a,Hop River (Columbia/Coventry/Andover)-01a,"Mouth at confluence with Willimantic River (between Route 6 connector and Route 66, just DS of Flanders Road crossing), Columbia/Coventry town line, US to Confluence with Skungamaug River, just US of Hendee Road crossing (east of Route 6), Andover.",11.82,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,62431.7278309714
104,2018,CT3108-00_01b,Hop River (Andover/Coventry/Bolton)-01b,"Confluence with Skungamaug River, just US of Hendee Road crossing (east of Route 6), Andover, US to HW behind Munsons Choclate Company (crosses Route 6 several times, last time is near Stony Hill Road intersection), Bolton.",3.22,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,17009.0754071057
105,2018,CT3108-07_01,Straddle Brook (Andover)-01,"Mouth on Hop River, just DS of Route 6 crossing, US to Cider Mill Pond outlet, just US of Route 316 crossing, Andover.",0.59,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3104.62106235206
106,2018,CT4200-15_01,Thrasher Brook (Somers)-01,"Mouth at confluence with Scantic River .25 miles DS of unnamed road crossing that extends from end of Northwest Drive, US to confluence with unnamed tributary .28 miles US of Route 83 crossing, Somers.",1.52,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,8033.58864521424
107,2018,CT4200-28_01,Dry Brook (South Windsor/East Windsor)-01,"Mouth at confluence with Scantic River .76 miles DS of Rye Street crossing (near intersection with Troy Road), South Windsor, US to HW US of Griffin Road crossing near Vintage Road, South Windsor.",4.7,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,24800.3483983464
108,2018,CT4201-00_01,Watchaug Brook (Somers)-01,"From mouth at confluence with Scantic River (DS of Watchaug Road crossing), US to CT/MA state border, Somers.",2.1,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,11072.1869053022
109,2018,CT4202-00_01,Gillettes Brook (Somers)-01,"Mouth at confluence with Scantic River .2 miles DS of Durkee Road crossing, US to confluence with unnamed tributary just US of Route 83 crossing, Somers.",0.41,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,2171.56362402964
110,2018,CT4202-00_02,Gillettes Brook (Somers)-02,"Confluence with unnamed tributary just US of Route 83 crossing, US to confluence with unnamed stream that outlets Worthington Pond, along Mountain Road, just DE from intersection with Broadway Road, Somers.",3.69,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,19490.7488628145
111,2018,CT4600-26_01,Miner Brook-01,"From mouth at confluence with Mattabasset River, Cromwell/Middletown border, US to headwaters (in marsh just US (south) of Westfield Street crossing, parallel with Route 217), Middletown.",2.92,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,15426.1344136736
