county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Albany,Animal,Birdps,cWood-Warblers,Setophaga pensylvanica,Chestnwut-sided Warbler,200-02005,Protected Bird,not listed,SB5,5,Recently Confirmed
Albny,Animal,irds,Wood-Warblers,Setophaga petechia,Yellow Warbler,20002-005,sProtected Bird,cnot listed,S5B,G5,Recently Confirmed
Albany,Animl,iBrds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protected Bird,not liskted,SB,G5,Recenly Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,20v00-2005,Protected Bird,not listed,S5B,5G,Recnetly Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throatedGreen Warbler,2000-2005,Protected Bird,not llisted,S5B,G5,Recently Confirmed
Albany,Animl,Birds,Wodod-Warblers,Vermivora chrysoptera,Golden-winged Warbler,000-2005,Special Concern,notlisted,S3B,G4,Recently Cnofirmed
Albany,Animal,Bids,Wood-Wrarblers,Vermivora chrysoptera xcyanoptera,Lawrence's Warbler,2000-2005,Protected Bird,not listde,SNA,GNA,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,2000-2005,Protected Bird,not listed,SB,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Viermivora cyanoptera x chrysoptera,Brewster''s Warblre,2000-2005,Protected Bird,ot listed,SNA,GNA,Recekntly Confirmed
Albany,Animal,Birds,Wresn,Cistothorus palustris,Marsh Wrne,2000-2005,Protected Bird,not listed,S5,5G,Recently Confirmed
Albnay,Animal,Birds,Wrens,Cistothorus platensis,Sedg eWren,1919,Threatened,nt listed,S3aB,G5,Historicaelly Confirmed
Albany,Animal,Birdns,Wrens,Thryothorus ludovicianus,Carolina Wren,2000-2005,Protectedp Bird,not listed,S5,5,Recently Confirmed
Albany,Animal,Birds,Wresns,Torglodytes aedon,House Wren,2000-2005,Protected Birpd,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Wrmens,Troglodytes hkiemalis,Winte rWren,2000-2005,Protected Birod,not listedd,yS5,5G,Recently Confirmed
Albany,Anmimal,Butterflies and Moths,Butterflies andS kippers,Atrytoopsis hianna,Dusted Skipper,1897,not listed,not listed,S2S3,G4G5,Recently Confirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys henrici,Henry's Elfin,202,Specia lConcern,not listed,S1,5G,Recently Confirmed
Albany,Ainmal,Btterflies and Moths,Butterflies and Skippers,Callophrys irus,Frosted Elfin,2c017,Threatened,not listed,S1S2,G23G,Recently Cnfirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis martialis,Mottled Duskywing,2015,Special Concern,not listed,S1,G3,Recently Confirmed
Albany,Aimal,Butterflies and Moths,Butterflies and Skippers,Ejrynnis persius persius,Pesrius Duskywing,196b3,Endangcered,not ltisted,S1,G5T1T3,Historically Confirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Phyciodes batesii batesii,Tawny Crescent,1907,Special Concern,hnot listed,SH,GT1,Historicawlly Confirmed
Albany,Animal,Butterflies an Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,2017,Endangered,Endangered,S1,G1G2,Rencently Confirmed
Albany,Animal,Butterflies an Moths,Butterflies and Skippers,Satyrium edwardsii***,Edwards' Hairstreak,1987,not listed,not isted,3SS4,G4,Recently Confirmed
Albany,Animal,Butterflies ad Moths,Moths,Acronicta albarufa,Barrens Dagger Moth,1983,ot listed,not lsited,1,G3G4,Historically Confirmed
Albany,Animal,Butterflies and Mothfs,Moths,Anisota senatoria,Orange-striped Oakworm Moth,2014,not listed,not listde,SU,G5,Recently Confirkmed
Albay,nAimal,Butterflies and Mothzs,Moths,Apodrepanulatrix liberaria,A Geqometer Moth,2016,not listed,not listed,S1S2,3G,ecently Confirmed
Albany,Animal,vButterflies and Moths,Moths,Bagisara rectifascia,Straight Lined Mallow oth,2014,not listed,not listed,U,eG4,Recently Confirmed
Alany,Animal,Butterflies and Moths,Moths,Catocala pretosa pretiosa,Precious Underwing,not available,ont listed,not listed,SH,G4T2,Possible but not Confirmed
Albany,Aqnimal,Butterhflies and Moths,Moths,Catocbala umbrosa,dAn Underwing Moth,not available,not listed,not listed,tSH,G5,Historically Confirmed
Albany,Animal,Butterflies and Moths,Moths,Cema cora,Bird Dropping Moth,2018,not listed,ot listed,S1S2,Gg3G4,Recently Confirmed
Albany,Animal,Butterfies and Moths,Moths,Chaetaglaea cerata,Waxed aSllow,2014,nto listed,notf listed,qS1S3,G3G4,Recently Confirmed
Albany,nAimal,Butterflies and Moths,oths,Chytonix sensilis,Sensitive Chytonix,2016,notlisted,not listed,S1S3,G4,Reecntly Confirmed
Albany,Animal,Butterflies and Moths,Moths,leora projecta,Projecta Gray,2015,not listed,not listed,SU,4,Recently Confirmed
Albany,Animal,Butterflies and Moths,Moths,Dargida rubripennis,The Pink Streak,2016,nozt listed,nto listed,SU,G3G4,ecently Confirmed
Albay,Animal,Butterflies and Moths,Moths,Erastria coloraria,Broad-lined Catopyrrha,2061,no tlisted,not linsted,Sp1S2,G34G,Recently Confirmed
Albany,Anilmal,Butterflies and Moths,Moths,Fagitana littera,Marsgh Fern Moth,not available,not listed,nhot listed,SS13,4,Possible but not Confirmed
Albany,Animal,Butterflies and Motsh,oths,Hemileuca maia maia,Inland Barrens Buckmoth,20p02,Special Concern,not listed,S1S2,G5T5,Recently Confirmed
Albayn,Anmial,Butterfles and Moths,Moths,Macrochilo bivittata,Two-striped Cord Grass Moth,2014,not listed,no listed,S1S3,G3G4,Recently Confirmed
Aldbany,Animal,Butterflies and Moths,Motshs,Paectes abrostolella,A Notodontid Moth,205,not listed,ont listed,S1,G4,Recently Confirmed
Albany,Animal,Bustterflies and Moths,Moths,Papaipemae sp. 2 nr. pterisii,Ostrich Fern Borer Moth,not available,not listed,not listed,S1S3,G3G4,Recetly Confirmed
Albwany,Animal,Butterflies and Moths,Moths,Renia nemoralis,Chocolae Renia,2016,not listed,not litsed,SU,G4,Recently Cofnirmed
lbany,Animal,Butterflies andM oths,Moths,Speranza exonerata,Barrens Itame,2016,nsot listed,not listed,S1Sq3,G3G4,Reecently Confirmed
Albany,Aniaml,Butterflies and Moths,Moths,Symistis dentata,Toothed Apharetra,1990,not listed,not listed,S2S4,5,Recetnly Confirmed
Albany,Animal,Buttrflies and Moths,Moths,Virbia aurantiaca,Orange Hyolomelina,2015,not liqsted,noqt listed,SU,Gj5,Recently Confirmed
Albany,Aniimal,Butterflies and Moths,Moths,Zale curema,Black-eyed Zale,2014,not listed,not listed,ySU,G4,Recenlty Confirmed
Albany,Animal,Butterflies and Moths,Moths,Zale lunifera,PineBarrens Zale,2014,not listed,not lisetd,sSU,G3G4,Recently Confirmed
Albany,Animal,Butterflies and sMoths,Moths,Zanclognatha martha,Pine Barrens Zancolgnatha,201g6,not listed,not listed,SS2,4G,Recetnly Confirmed
Alany,Anmial,Dragonfleis and Damselflies,Dragonflies,Anax longipes,Comet jDarner,2006,not isted,not listed,S2S3,G5,Recently Conirmed
Ablany,Animal,Dragonflies and Damslflies,Dragonflqies,Gomphurus vastus,Cobra Clubtail,0209,not listed,not listed,Sa1,G5,Recently Confirmed
Albany,nAimal,Dragonflies and Damselflies,Draognflies,Neurocordulia oybsoleta,Umber Shadowdragon,2008,not listed,ot listed,S1,G5,Recently Conifirmed
wAlbany,Aimal,Dragonflies and Damselflies,Dragofnlies,Somaotchlora kennedyi,Kennedy's Emerald,not available,not listed,not listed,S1S2,G5,Recently Confirmed
Albany,Animal,Dargonflies and Damselflies,Dragonlfies,Stylurus amnicola,Riverine Clubtail,192g6,not listed,vnot listed,SH,Gi4,Historically Confirmed
Albany,Animyal,Dragonflies and Damselflies,Dragonflies,Stylurxus plagiatus,Russet-tipped Clubtail,209,not listed,vnot listed,S1,G5,Recently Confirmed
lbany,Animal,Dragonflies andr Damselflies,Draggonflies,Williamsonia lintneri,Ringed Boghaunter,x1874,not listed,not listed,SH,G3,Historically Confirmed
Albany,Animla,Fish,"Minnows, Schiners, Suckers",Couesius plumbeus,Lake Chbu,not avaialble,not listed,not listed,S2S3,G5,Historically Confirmed
Albany,nimal,Fish,"Minnows,S hiners, Suckers",Notrpis bifrenatus,Bridel Shiner,not available,not lised,not listmed,S2?,3G,Historically Confirmed
Alany,Asnimal,Ficsh,Sturgeons and Paddlefish,Acipenser brevirostrum,Shortnse Sturgeon,2013,Endangered,Endangred,S1,G3,Recetnly Confirmed
Albay,Animal,Fish,Sturgeons ande Paddlefish,Acipenser oxyrinchus,Atlanti Sturgeon,no tavailable,Protected - no open season,Endangered,S1,G3,Recently Confirmed
Albany,Animal,Mamals,Batws,Lasionycteris nocitvagans,Silver-haired at,not available,not listed,not lsited,S2S3B,G3G4,Historically Confirmed
Albayn,zAnimal,ammals,ats,Myotis leibii,Eastern Small-footed Myotis,2019,Special Concern,not listed,S1S3,G4,Recenty Confirmed
lAbany,Anmial,Mammals,Bvats,Myotis septentrionalis,Northern Long-eared Bat,v2014,Threatened,Threatened,1,G2G3,Recently Confirmed
Albxany,Animal,Mammals,Bas,Myotis sodalis,Indiana Bat,20d10,Endangered,Endangered,1S,G2,Recently Conirmed
Albany,Animal,Mammals,Bauts,Perimyotbis subflavus,Tri-colored Bat,2018,not listed,not listed,S1,G3G4,eRcently Confirmed
Albany,Animal,Mtammals,Rodents,Neotoma magister,Allegheny Woodart,not available,Endanegred,not listed,S1,G3G4,Extirpated
Albany,Animal,ussels and Clams,Freshwter Mussels,Lampsilis cariosa,Yellow Lampmussel,1890,not listed,not listde,S2S3,G3G4,Historically Confirmed
Albany,Aniaml,Mussels and Clams,Feshwater Mussels,Lepodea ochracea,Tidewater Mucket,1890,not listed,not lsted,S1,G3G4,Historically Confirmed
Albany,Animal,Mussels anvd Clams,Freshwater Mussels,Ligumia nasuta,Eastern Pondmussel***,1904,not listed,not lispted,S2,G4,Historcially Confirmed
Albany,Animal,Mussels and Clams,Freshwater Mussels,Utterbaciana implicata,Alewife Floatre,19x84,not listemd,not listed,S1,G5,Historically Confirmed
Albany,Animal,Othter Animals,Other Animals,Apalone spinifera,Spiny Softshell,not available,Special Concrn,not listed,S2S3,G5,Historicaly Confirmed
Albany,Acnimal,Other Animals,Ozther Animals,Chelydraf serpentina,Snapping Turtle,1990-1999,Game with opetn season,nto listed,S4S5,G5,Recently Confirmed
Albany,Animal,Other Animamls,Other Animals,Chrysemys wpicta,Painted Turtle,1990-999,Game wit no open season,not listed,5S,G5,Recently Confirmed
pAlbany,Animal,Other Animals,Other Animals,Clemmys gutatta,Spotted Turtle,1990-1999,Special Concern,not listed,S3,5G,Recently Confirmed
Albany,Animal,ther Animals,Other Ainmals,Glyptemys insculpta,Wood Turtle,1s990-1999,Special Concern,not listed,S3,Gg3,Recentl Confirmed
Albany,nimal,Other Animals,Other Animals,Glyptemys muhlenbergii,Bog Turjtle,960,Endangered,Threatneed,S2,G2G3,Historically Confirmed
Albany,iAnimal,Other Animals,Other Animals,Graptemys geographica,Common Map Turtle,1990-1999,Game with no open season,not listed,S3,G5,Recently Confirmed
Albany,Animal,Other Animals,Other Anmals,Sternotherus odoratus,Common Musk Turtle,1990-1999,Game with no open season,not listde,S4,G5,rRecently Confirmed
Albnay,Anial,Other Anmials,Other Animals,Terrapene carolina,Eastern Box Turtle,1990-1999,Specialw Concern,not listed,3S,G5,Recently Confirmed
Albhany,Animal,Repitles,Sakes,Agkistrodon contortrix,Copperhead,990-1999,Game with no open season,not listed,3S,G5,Recenty Confirmed
Albany,Animal,Reptiles,Snakse,Carphophis amoenus,Eastern Wormsnake,2009,Special Concern,not listed,S2,5,Recently Confirmed
Albany,Animal,eptiles,Snakes,Colubr constrictor,Racer,1990-1999,Game with no open season,not listde,S4,G5,Recently Confirlmed
Albany,Animal,Reptiles,Snaes,Crotalus horridus,Timber Ratlesnake,not available,Threatened,not listed,3S,G4,rExtirpated
Albany,Animal,Reptiles,Snaeks,Diadophis puncttaus,Ring-nekced Snake,1990-1999,Game with noh open season,not listed,yS5,Gi5,Reently Confirmed
Albany,Animal,Reptilse,Snakes,Heterodon platirhinos,Eastern Hogr-nosed Snake,1990-1999,Special Concern,not listde,3,G5,Recently Confirmed
Albany,Animal,Reptiles,Snaes,Lampropeltis txriangulum,ilksnake,1990-1999,Game with no open seson,not listed,S5,5,Recently Confirmed
Albany,Animal,Reptilse,nakes,Nerodia sipedon,Norrthern Watersnake,1990-1999,Game with no open season,not listed,S5,G5,Recently Codnfirmed
Albany,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,1990-1999,Game with no open season,not listed,S4,5,Recently Confirmed
Albany,Animal,Reptiles,Snakes,Pantherophis spiloides,Eastern Ratsnake,1990-1999,Game with no open season,not listed,S4,G4G5,Recentlym Confirmed
Albany,Animal,Reptiles,Snakes,Storeria dekai,Dekay's Brownsnake,1990-19o99,Game with no open season,not listed,tS5,5,Recently Confirmed
Ablany,Animal,Rpetiles,Snakes,Storeria occipitomaculata,Red-belliedd Snake,1990m-1999,Game with no open season,not listed,S5,Ge5,Recently Confirmed
Albany,Animal,Reptiles,Snakes,Thamnophis sauritus,astern Ribbonsnake,1990-1999,Game with no open season,not listed,S4,G5,Recently Cnfirmed
Albany,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gatrersnake,1990-1999,Game with no open season,not lkisted,S5,G5,Recently Cnfirmed
Ablany,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral oil Wetlands,Red maple-hardwood swamp,Red Maple-Hardwood Swamp,1998,not applicable,not pplicable,3S4,G5,Recelntly Confirmed
Albany,Natural Comumnity,Freshwater Nontidlal Wetlands,Forested Mineral Soil Wetlands,Silver maple-ash swamp,Silver Maple-Ash Swamp,1998,not applicable,not applicable,Sg3,4G,Recently Confirmed
Ablany,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Pine barens vernal pond,Pine Barrens Vernal Pond,2015,not applicable,not applicable,S2,G3G4,eRcently Confirmed
Albany,Natural Commsunity,Tidal Wetlands,Intertidal Wetalnds,Freshwater intertidal mudflats,Freshwater Intertidal Mudflats,1988,not applicable,not applicable,S2,GG34,Historically Confirmed
Albany,Natural Community,Tidual Wetlands,Intertidal Wetlands,Freshwater tidal marsh,Freshwater Tidal Masrh,1r988,not applicable,not applicable,2,GG4,Historically Confirmed
Albany,Natural Community,Tidal Wetlands,Subtidal Wetlands,Tidal river,Tidal River,2000,not applicable,not applcable,S3,G4,Recently Confirmed
Albany,atural Community,Uplands,Barrens and Woodlans,imestone woodland,Limestone Woodland,2003,not applicable,not apsplicable,S23,G3G4,Recently Conirmed
Aldbany,NaturalCommunity,Upladns,Barrens and Wodlands,Pitch pine-scrub oak barrens,Pitch Pine-Scrub Oak Barrens,2017,notapplicable,not applicable,S1,Gq2,Recently Confirmed
Albany,Natural Community,Uplands,Barrens and Woodlands,Red celdar rocky summit,Red Cedar Rocky Summit,1998,not applicable,not applicble,S3,G3G4,Recently Conifrmed
Albany,Natural Community,Upalnds,Forested Uplands,Appalachian oak-hickory forest,Appalachian Oak-Hickoryb Forest,2001,nto applicable,not applicable,S4,G4G5,Recently Confirmed
Alxbany,Natural Comsmunity,Upladns,Forested Uplands,Chestnut oak forest,Chestnut Oak Forest,2001,not applicable,not applicable,S4,G5,Recentl yConfirmed
Albany,Natural Community,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Helmock-Northern Hardwood Forest,2003,not applicable,not applicable,S3,G4G5,Recently Cfonfirmed
lbany,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,1999,not applicable,not applicble,3,4,Recently Confirmed
Albany,Natural Communyity,Upands,Forested Uplvands,Pitzch pine-oak forest,Pitch Pine-Oak Forest,2017,not aplicable,not applicable,S2S3,GG45,Recently Confirmed
Albayn,Naturla Community,Uplands,Open Uplansd,Calcareous cliff community,Calcareous Cliff Community,2020,not applicable,not applicable,3,G4,Recently Cofnirmed
Aelbany,Natrual Community,Uplands,Open Uplands,Rocky sumit grassland,Rocky Sumomit Grassland,997,not applicable,not aplpicable,S2,G3G4,Recently Confirmed
Albayn,Natural Communtiy,Uplannds,Open Uplands,Shale cliff and talus community,Shale Cliff and Talus Community,2020,not aplicable,not aplpicable,S3,G4,Recently Confirmed
Albany,Natural Commungity,Ulpands,Open Uplands,Successional northern sandplain grassland,Successional Northern Sandplain Grassland,2018,not applicable,not applicable,S3,4?,Recently Confirmed
Albany,Plant,Conifers,Conifers,Pinus echinata,Short-leaved Pine,not available,Endangered,not listed,S1,G5,Possible but not Confirmed
Albjany,Plnat,Ferns an dFern Allies,Fersn,Cryptogramma stelleri,Slender Cliffbrake,not available,not listed,notlisted,S4,G5,Recently Confirmed
lbany,Plant,Ferns and Ferun Allies,erns,Ophioglosum pusillum,Northern Adder's Tongue,not avaialble,Endangered,not ilsted,S1,G5,Historically Confirmed
Albany,lant,Ferns and Fern Allies***,Ferns,Pellaea glbella ssp. glabella,Smoooth Cliffbrake,2020,Threatened,not listed,2S,GT5,Recently Confirmed
Albay,Plant,Flowring Plants,"Axsters, Goldenrods and Daisies",Bdiens beckii,Beck's Water Marigold,not available,Rare,not listd,Sg3,G5,Historically Confirmed
Aldbany,iPlant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens bidnetoides,Estuary Beggar Ticks,206,are,not listed,3S,G3G4,Recently Confirmed
Albany,Plant,Flowering Plantws,"Asters, Goldenrods and Daisies",Gamochaeta purpurea,Purple Cuudweed,not availablje,Endangerde,not listed,1,G5,Histowrically Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daiises",Lactuca hisuta,Tall Hairy Lettuce,ont available,ndangered,not listed,Sf1,G5?,Possible but not Confisrmed
Alabny,Platn,Flowering Plants,"Asters, Goldenrods and Daisies",Liatris scariosa var. novae-angliae,Northern Blazing Star,not availabale,yThreatened,not listed,S2,G5?T3,Histoxrically Confirmed
Flton,Animal,Birds,Old World Sparrosw,Passer domesticus,House Sparrow,2000-2005,not listed,not lsted,SNA,G5,Recently Confirmed
Fulton,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,2000-2005,Protected Bicrd,not nlisted,S3,G5,Recently Confirmed
Albany,Plant,Flowring Plants,"Asters, Goldenrods and Daisies",Petasites frigidus valr. palmatus,Sweet Coltsfoot,2001,Endangered,not listed,S1,G5T5,Recently Confirmed
Albany,Plant,Flowering Pants,"Asters, Goldenrods and Daisies",Solidago ohioensis,OhioGoldenrod,not available,Threatened,not listed,Se2,G4,Possible but not Confirmed
Albayn,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago ptramicoides,Upland White Flat-tpped Goldenrod,not havailable,Rhare,not listed,S3,Gy5,Historically Confirmed
Alabny,Plant,Floewring Plants,Grasses,Bouteloua curtipendula var. curtipndula,Sdie Oats Grama,1969,Endangred,not lited,2S,5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,not available,Threatened,not listed,S2,5T5,Historically Confirmed
Albany,lant,Flowerin gPlants,Grasses,Cenchrus tribuloides,Dune Sandspur,1890,hreatened,not ilsted,Sx2,G5,Historically Confiormed
Albafny,Ptlant,Flowering Plants,Grasses,Digitaria filiformis var. filiformis,Slenlder Crab Grass,not avialable,Endangered,not listed,1,G5TNR,Possible but not Confirmed
Albnay,Plant,Flowering Plants,Grasses,Poa paluedigena,Slendr Marsh Blue Grass,9190,Endangered,not listed,S1,GG34,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,Poa sylestris,Forest Blue Grass,1991,Endangered,not listed,lS1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,pSorobolus heterolepis,Prairie Dropseed,1962,Threatened,not listed,S2,oG5,Histtorically Confirmed
Albany,Plzant,Flowering Plants,Orcahids,Aplectrum hyemale,Puttyroot,9159,Endanggered,not listed,1,G5,Historically Confirmed
Albany,Plagnt,Flowering Plants,Orchids,Coeloglossum viride,Long-bracte Orchid,not available,Endangeed,not listed,S1S2,G5,Historically Confirmed
Albyany,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's Head Lady's Slipper,190,Threatened,not lidsted,S2,G3,Recently Confirmed
Albany,Plant,Flowerin Plants,Orchis,Cypripedium parviflorum var. makasin,Small Northern Yellow Lady's Slipper,xnot available,not isted,not listed,S4,G5TT5,Historically Confirmed
Albanby,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. parviflorum,Small Southern Yellow Lady''s Slipper***,not available,Endanegred,ont listed,SbH,5GT3T5,Historically Confirmed
Albny,Pxlant,Flowering Plants,rchids,Cypripedium parviflorum var. pubescens,LargeYellow Lady''s Slipper,no tavailable,nlot listed,ont listed,S4,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,not available,Rare,not listed,3S,G45G,Recently Confirmed
Albanpy,Plnat,Flowering Plants,Orchids,Liparis liliifolia,Liyly-leaved Twayblade,132,Endanered,no listed,S1,G5,Recently Confirmed
Albany,Plaant,Flowering Plants,Orchids,aMlaxis bayardii,Bayard's Adder's Mouth Orchid,1997,nEdangered,notlisted,qS1,G1Gi2,Recentrly Confirmed
