1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
1269.facilityname,Valley Chidlren's Hospital,Valley Children's Hospital
1473.hai,"Healthcare Associated Infection, Surgical Site Infectins (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1370.facilityname,Kern Meldical Center,Kern Medical Center
119.operativeprocedure,pApendix surgery,Appendix surgery
910.county,Tulaare,Tulare
43.statevalue,wCalifornia,California
1264.statevalue,Californai,California
139.operativeprocedure,Appendxi surgery,Appendix surgery
931.facilityname,"Kaiser Foundation Hospital, Roseivlle","Kaiser Foundation Hospital, Roseville"
354.operativeprocedure,Cesaeran section,Cesarean section
1033.statevalue,Californika,California
773.operativeprocedure,Gallbladders urgery,Gallbladder surgery
357.hai,"Healthcare Associated Infection, Surgical Sie Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
558.county,lacer,Placer
616.county,Los Agneles,Los Angeles
1433.operativeprocedure,Thoracic srugery,Thoracic surgery
1032.hai,"Healthcare Associated Infection, Surgical Site Ifnections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1020.hai,"Healthcare Associated Infection, Surgical eSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
779.county,Freso,Fresno
1018.hai,"Healthcare Associated Infection, Surgical Site Infections l(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1068.statevalue,Caifornia,California
1208.operativeprocedure,Opeen reduction of fracture,Open reduction of fracture
472.operativeprocedure,esarean section,Cesarean section
872.hai,"Heatlhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
760.statevalue,Caliofrnia,California
244.operativeprocedure,Appendix surgey,Appendix surgery
67.statevalue,Californa,California
197.hai,"Healthcare Associated Infecttion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1163.statevalue,Calzifornia,California
1188.facilityname,Santa Barbara Cottage Hospittal,Santa Barbara Cottage Hospital
345.statevalue,Califorgnia,California
1087.county,dRiverside,Riverside
145.county,Rivedrside,Riverside
944.hai,"Healthcare Asscoiated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
294.facilityname,John Muir Medical Center - Walnut Creeak Campus,John Muir Medical Center - Walnut Creek Campus
1185.county,Los nAgeles,Los Angeles
815.county,Lfos Angeles,Los Angeles
564.county,Txulare,Tulare
83.facilityname,"Kaiser Foundation Hospital, Antifoch","Kaiser Foundation Hospital, Antioch"
1368.statevalue,Cailfornia,California
1185.statevalue,aClifornia,California
907.hai,"Healthcare Associated Infjection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
410.statevalue,Caclifornia,California
861.facilityname,Oak Valley Hospitla District,Oak Valley Hospital District
211.hai,"Healthcare Associated nIfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
761.hai,"Healthcare Associated Infection, Surgical Site Infections (SSIz)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1361.statevalue,Calhifornia,California
78.statevalue,Californai,California
646.statevalue,Calisfornia,California
1264.operativeprocedure,rRectal surgery,Rectal surgery
561.county,Sana Clara,Santa Clara
