4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
8555.geocodecitylevel,"Chadron, NE
(42.830856, -103.0023)","Chadron, NE
(42.830856, -103.00023)"
7958.city,Mindewn,Minden
6044.county,eMrcer,Mercer
5588.statevalue,oMA,MA
472.city,Inveress,Inverness
1003.psapname,Northumbqerland County Sheriffs Office,Northumberland County Sheriffs Office
132.city,Semyour,Seymour
4357.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original postingt.","PSAP Name, State, County or City text has been modified since the original posting."
8189.typeofchangefulltext,No Changes have eben made.,No Changes have been made.
2992.city,St aul,St Paul
1552.city,atesville,Gatesville
3201.statevalue,CS,SC
3473.geocodecitylevel,"Leeds, AL
33.545948, -86.547135)","Leeds, AL
(33.545948, -86.547135)"
7968.datelastmodified,08/192/016,08/19/2016
3545.psapname,Jkohnson County 9-1-1,Johnson County 9-1-1
7334.statevalue,XT,TX
7773.geocodecitylevel,"Mlian, OH
(41.293808, -82.602659)","Milan, OH
(41.293808, -82.602659)"
4647.typeofchangefulltext,No Cfhanges have been made.,No Changes have been made.
2748.statevalue,fAR,AR
4532.statevalue,MuS,MS
7488.city,Gaylodr,Gaylord
516.geocodecitylevel,"Gallatin, TN
(36.381608, -864.4383)","Gallatin, TN
(36.381608, -86.44383)"
4601.geocodecitylevel,"Oglesby, IL
(41.299189, -d89.06811)","Oglesby, IL
(41.299189, -89.06811)"
5500.county,Alpameda,Alameda
3977.city,Whitriver,Whiteriver
4000.statevalue,aOR,OR
1630.statevalue,A,CA
6377.datelastmodified,04/20/0204,04/20/2004
2623.typeofchangefulltext,Nod Changes have been made.,No Changes have been made.
7949.city,Housgton,Houston
1478.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filigs.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
3210.city,Murpyhsboro,Murphysboro
6794.county,Chotcaw,Choctaw
8344.statevalue,rCA,CA
8306.city,Aventra,Aventura
8403.city,Jeffersn,Jefferson
5155.county,Reyznolds,Reynolds
5966.datelastmodified,0/104/2017,01/04/2017
2715.psapname,Roscommon ounty Central Dispatch,Roscommon County Central Dispatch
613.typeofchangefulltext,No Ckhanges have been made.,No Changes have been made.
5019.geocodecitylevel,"Newport, TN
(35.961338, -83.195049)","Newport, TN
(35.961383, -83.195049)"
7679.statevalue,T,UT
7889.geocodecitylevel,"Scott City, KS
3(8.479462, -100.906904)","Scott City, KS
(38.479462, -100.906904)"
8174.city,Winnsbofro,Winnsboro
6026.county,iPerce,Pierce
5921.datelastmodified,03/04/2040,03/04/2004
6692.psapname,Becrnalillo Police Department,Bernalillo Police Department
3853.statevalue,X,TX
7457.typeofchangefulltext,oN Changes have been made.,No Changes have been made.
7858.county,Bucs,Bucks
157.county,Pipnal,Pinal
5193.geocodecitylevel,"Emmett, ID
(43.873602 -116.500054)","Emmett, ID
(43.873602, -116.500054)"
955.county,Urpson,Upson
6143.geocodecitylevel,"Leavenworth, KS
(39.3274,6 -94.918953)","Leavenworth, KS
(39.32746, -94.918953)"
1560.datelastmodified,03/04/200o4,03/04/2004
7781.geocodecitylevel,"Rockville, IN
(39.762512, -87.22768)6","Rockville, IN
(39.762512, -87.227686)"
5152.typeofchangefulltext,PSAP was added since the origial posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
6505.county,Macouplin,Macoupin
7776.psapname,University Of Texas Police Depratment,University Of Texas Police Department
7212.county,Fauqduier,Fauquier
590.county,Livingsaton,Livingston
8475.statevalue,LF,FL
825.typeofchangefulltext,"PSAP Name, State, County or City text has een modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
8050.psapname,Tampa Fire epartment,Tampa Fire Department
2143.city,Ft Wiashakie,Ft Washakie
7714.psapname,oSuth Bay Police,South Bay Police
7913.psapname,Christian County Ezmergency Services,Christian County Emergency Services
1107.psapname,Highladn Park,Highland Park
6504.typeofchangefulltext,eScondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
4858.statevalue,D,SD
3301.geocodecitylevel,"Chester, SC
(34.703548, -81.213691)","Chester, SC
(34.705348, -81.213691)"
499.city,Wisconsin Rpids,Wisconsin Rapids
6341.county,Greenbrer,Greenbrier
2969.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the origina posting.","PSAP Name, State, County or City text has been modified since the original posting."
2690.geocodecitylevel,"Richfield Springs, NY
(42f.853428, -74.985111)","Richfield Springs, NY
(42.853428, -74.985111)"
6223.county,Delaoware,Delaware
4176.city,Huntingtonn,Huntington
2060.typeofchangefulltext,No Chages have been made.,No Changes have been made.
478.psapname,Genesee County 9-1-1 uthority,Genesee County 9-1-1 Authority
7186.statevalue,CN,NC
6569.geocodecitylevel,"Alma, GA
(31.54202, -82.468753)","Alma, GA
(31.54202, -82.468735)"
2634.psapname,Valparaiso Police Degpartment,Valparaiso Police Department
6377.statevalue,lFL,FL
61.geocodecitylevel,"Derby, CT
(41.322959, -73.089954)","Derby, CT
(41.322959, -73.089594)"
1024.datelastmodified,03/0/2004,03/04/2004
1766.statevalue,A,WA
1800.geocodecitylevel,"Eastland, TX
(23.401757, -98.8181)","Eastland, TX
(32.401757, -98.8181)"
1183.datelastmodified,121/9/2013,12/19/2013
766.geocodecitylevel,"Rosenberg, TX
(29.558248, -95.80882)6","Rosenberg, TX
(29.558248, -95.808826)"
7835.statevalue,S,MS
3859.county,dCook,Cook
706.psapname,Menomiene County 911 Center,Menominee County 911 Center
3368.statevalue,JN,NJ
3305.typeofchangefulltext,No hCanges have been made.,No Changes have been made.
862.typeofchangefulltext,No Changes ahve been made.,No Changes have been made.
12.city,Waupaac,Waupaca
5258.typeofchangefulltext,No Changes havebeen made.,No Changes have been made.
2866.geocodecitylevel,"Brandon, MS
(32.272828, 89.97095)","Brandon, MS
(32.272828, -89.97095)"
1518.statevalue,CN,NC
6036.psapname,Miamid-ade Communications Center (backup),Miami-dade Communications Center (backup)
6992.county,olk,Polk
1642.geocodecitylevel,"Dundee, FL
(28.018536,q -81.615568)","Dundee, FL
(28.018536, -81.615568)"
5198.typeofchangefulltext,"SPAP Name, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
5094.datelastmodified,3/04/2004,03/04/2004
6414.datelastmodified,03/0/42004,03/04/2004
3398.statevalue,X,TX
4154.datelastmodified,10/1a7/2007,10/17/2007
7652.county,St. Louiys,St. Louis
5525.city,lPano,Plano
610.geocodecitylevel,"Centennial, CO
(39.597307, -140.853811)","Centennial, CO
(39.597307, -104.853811)"
4442.statevalue,OM,MO
4677.datelastmodified,03/042004,03/04/2004
1832.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filuings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
1680.datelastmodified,10/71/2007,10/17/2007
5986.city,Mililngton,Millington
3420.county,Worcehster,Worcester
7011.county,Boyad,Boyd
5944.geocodecitylevel,"Woodville, TX
(30.775331, -94.420212)***","Woodville, TX
(30.775331, -94.420212)"
7427.geocodecitylevel,"ercer, PA
(41.226891, -80.239974)","Mercer, PA
(41.226891, -80.239974)"
220.geocodecitylevel,"Suth San Francisco, CA
(37.65568, -122.412482)","South San Francisco, CA
(37.65568, -122.412482)"
8210.psapname,Huon Township Police Department,Huron Township Police Department
6631.datelastmodified,03/04/2004***,03/04/2004
7585.typeofchangefulltext,Orphaned PSAP no longer considered a primary all taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2178.statevalue,MlA,MA
6482.typeofchangefulltext,No Changes have bmeen made.,No Changes have been made.
7079.city,Wialdwood,Wildwood
6387.typeofchangefulltext,No Change shave been made.,No Changes have been made.
2411.typeofchangefulltext,"PSAP Name State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4842.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refarin from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1577.typeofchangefulltext,No Changyes have been made.,No Changes have been made.
8513.typeofchangefulltext,No Changes hav ebeen made.,No Changes have been made.
1035.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original pojsting.","PSAP Name, State, County or City text has been modified since the original posting."
3769.psapname,Csu - Cahnnel Islands Police Department,Csu - Channel Islands Police Department
2476.typeofchangefulltext,"PSAP Name,S tate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
8081.psapname,Indianapolis-marion oCunty Communications,Indianapolis-marion County Communications
1242.statevalue,CN,NC
572.statevalue,yCO,CO
6453.city,Wshington,Washington
4894.statevalue,AC,CA
7002.city,Salm,Salem
2843.psapname,Colorao State Patrol-lamar,Colorado State Patrol-lamar
2677.psapname,Healdsburg Police Departmecnt,Healdsburg Police Department
1076.typeofchangefulltext,PSAP was adtded since the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
7919.datelastmodified,03/04/204,03/04/2004
2940.county,Montgomhery,Montgomery
3596.psapname,Mathews oCunty,Mathews County
4714.datelastmodified,03/04/004,03/04/2004
7772.statevalue,LF,FL
2600.county,Dalas,Dallas
5126.typeofchangefulltext,No Chadnges have been made.,No Changes have been made.
1498.typeofchangefulltext,"PSAP Name, State, County or Ctiy text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
8125.geocodecitylevel,"Mt Sterling, OH
(39.721218, -8326738)","Mt Sterling, OH
(39.721218, -83.26738)"
2334.city,Ville Plattoe,Ville Platte
3390.psapname,New Hanover County Public Safety Cmmunications,New Hanover County Public Safety Communications
8476.county,Booen,Boone
4522.county,Worctester,Worcester
270.psapname,Frederickhsburg City Police Department,Fredericksburg City Police Department
933.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain frm using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6260.county,Jeffeson,Jefferson
8244.psapname,Creemoor Police Communications,Creedmoor Police Communications
645.statevalue,T,UT
7604.geocodecitylevel,"Fayetteville, AR
(m36.061928, -94.160583)","Fayetteville, AR
(36.061928, -94.160583)"
1838.geocodecitylevel,"Aurora, CO
(39.711213, -1b04.819356)","Aurora, CO
(39.711213, -104.819356)"
994.typeofchangefulltext,No Changesh ave been made.,No Changes have been made.
2430.geocodecitylevel,"Pinedale, WY
(42.8675, -109.863722)","Pinedale, WY
(42.86755, -109.863722)"
1675.statevalue,MN,NM
7224.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filwings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2143.geocodecitylevel,"Ft Waslhakie, WY
(43.006566, -108.87959)","Ft Washakie, WY
(43.006566, -108.87959)"
8535.geocodecitylevel,"Colorado Springs,CO
(38.835224, -104.819798)","Colorado Springs, CO
(38.835224, -104.819798)"
1448.county,Lincon,Lincoln
1686.city,Wae Forest,Wake Forest
5223.geocodecitylevel,"Ebnesburg, PA
(40.485178, -78.72499)","Ebensburg, PA
(40.485178, -78.72499)"
6515.datelastmodified,03/04w/2004,03/04/2004
5554.typeofchangefulltext,"PSAP Name, State, County or Cityw text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
3166.city,Richfild,Richfield
4975.datelastmodified,01/30/005,01/30/2005
5970.datelastmodified,070/3/2014,07/03/2014
1717.geocodecitylevel,"Antioch, IL
42.477237, -88.095767)","Antioch, IL
(42.477237, -88.095767)"
6863.psapname,ontgomery County E911,Montgomery County E911
451.geocodecitylevel,"Weiser, ID
(44.246352 -116.969878)","Weiser, ID
(44.246352, -116.969878)"
2715.statevalue,IM,MI
1719.typeofchangefulltext,No Changes have been mae.,No Changes have been made.
1423.statevalue,GzA,GA
215.datelastmodified,0b5/03/2013,05/03/2013
7088.city,Ndome,Nome
4853.county,ea,Lea
6300.typeofchangefulltext,lNo Changes have been made.,No Changes have been made.
688.geocodecitylevel,"Laplace, LA
(30.067198, -90.48136)1","Laplace, LA
(30.067198, -90.481361)"
4747.county,Wilsn,Wilson
2456.psapname,Louisa Counyt Sheriff,Louisa County Sheriff
6232.county,Greenbe,Greene
3309.county,kContra Costa,Contra Costa
6406.datelastmodified,03/0/42004,03/04/2004
1219.psapname,Monteagle Poliec Department,Monteagle Police Department
1750.city,Juno each,Juno Beach
541.geocodecitylevel,"Decatur, A
L(34.605557, -86.979986)","Decatur, AL
(34.605557, -86.979986)"
4261.datelastmodified,05/05/2011***,05/05/2011
1262.datelastmodified,03/40/2004,03/04/2004
7040.city,Mobie,Mobile
7904.county,Wyne,Wayne
5952.typeofchangefulltext,No Changesh ave been made.,No Changes have been made.
1235.psapname,Dallas Couty Sheriffs Office,Dallas County Sheriffs Office
6514.county,Harrs,Harris
6926.psapname,Abbott Es,Abbott Ems
6752.typeofchangefulltext,NoChanges have been made.,No Changes have been made.
7518.geocodecitylevel,"Springfiedl, TN
(36.498423, -86.880535)","Springfield, TN
(36.498423, -86.880535)"
3929.city,Vllejo,Vallejo
1333.typeofchangefulltext,Orphaned SPAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
605.datelastmodified,07/29/200,07/29/2010
241.county,Pulaksi,Pulaski
4937.psapname,Garrtet County,Garrett County
2291.geocodecitylevel,"Memphis, TN
(35.143378, -90.05213)6","Memphis, TN
(35.143378, -90.052136)"
6480.typeofchangefulltext,No jChanges have been made.,No Changes have been made.
7079.datelastmodified,03/0h4/2004,03/04/2004
982.datelastmodified,12/19/213,12/19/2013
6636.city,lathe,Olathe
852.geocodecitylevel,"Black River Falls, WI
(44.295035, -90.4971)","Black River Falls, WI
(44.295035, -90.84971)"
7116.datelastmodified,0/304/2004,03/04/2004
7131.city,Milltwon,Milltown
5144.typeofchangefulltext,o Changes have been made.,No Changes have been made.
5615.city,Winotn,Winton
7889.datelastmodified,10/50/2017,10/05/2017
2599.county,ssex,Essex
5310.city,oliet,Joliet
4262.datelastmodified,03/04/2040,03/04/2004
7219.datelastmodified,1/001/2012,10/01/2012
2907.typeofchangefulltext,No Changes have been amde.,No Changes have been made.
6461.county,Traivs,Travis
634.geocodecitylevel,"Spearman, TX
(3v6.198186, -101.190815)","Spearman, TX
(36.198186, -101.190815)"
6876.psapname,Cal-fire Willits (mendocinoUnit),Cal-fire Willits (mendocino Unit)
6929.psapname,Burk eCounty Sheriffs Communications,Burke County Sheriffs Communications
7260.datelastmodified,1/017/2007,10/17/2007
3280.datelastmodified,1/06/2017,01/06/2017
2651.datelastmodified,03/40/2004,03/04/2004
4300.county,Jefferson***,Jefferson
2858.typeofchangefulltext,No Changes haev been made.,No Changes have been made.
5710.county,Marino,Marion
3316.psapname,San Clemente Police-fire Dpartment,San Clemente Police-fire Department
4022.city,Hazlte,Hazlet
8437.city,Rwlins,Rawlins
7691.city,Dodegeville,Dodgeville
2504.geocodecitylevel,"Pagedaloe, MO
(38.678233, -90.312918)","Pagedale, MO
(38.678233, -90.312918)"
4560.psapname,Frer Police Department,Freer Police Department
3994.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refarin from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2820.city,Clyton,Clayton
7005.psapname,Carmel Police Communicatoins,Carmel Police Communications
8450.county,Csas,Cass
7168.psapname,San Dieog Police Department,San Diego Police Department
7861.geocodecitylevel,"Bishop, CA
(373.61412, -118.39527)","Bishop, CA
(37.361412, -118.39527)"
4657.statevalue,YK,KY
5505.county,unnison,Gunnison
1560.typeofchangefulltext,No Changes havte been made.,No Changes have been made.
