3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
3948.activity_date,2020/11/25 0j5:00:00+00,2020/11/25 05:00:00+00
1498.activity_date,2020/06/03 0q3:59:59+00,2020/06/03 03:59:59+00
2450.address_one,0100 LINN STATION RD,10100 LINN STATION RD
4047.personpremise,CRCLE K #4703325,CIRCLE K #4703325
3725.address_one,8200CANDLEWORTH DR,8200 CANDLEWORTH DR
1890.personpremise,PANERA BREAD #891,PANERA BREAD #1891
1177.personpremise,CONSTRUCTON WORKERS,CONSTRUCTION WORKERS
3388.activity_type_desc,FIELfD,FIELD
2954.request_date,2020/0/28 03:59:59+00,2020/07/28 03:59:59+00
3110.request_date,2020/10/27 03:5959+00,2020/10/27 03:59:59+00
3699.request_date,2021/01/04 05:0:00+00,2021/01/04 05:00:00+00
2988.activity_date,2020/09/17 03:9:59+00,2020/09/17 03:59:59+00
4631.request_date,2021/012/5 05:00:00+00,2021/01/25 05:00:00+00
3208.request_date,2020/1b0/22 03:59:59+00,2020/10/22 03:59:59+00
1991.request_date,2020/08/11 03:59:59+00***,2020/08/11 03:59:59+00
86.address_one,5601 ARDSTOWN RD,5601 BARDSTOWN RD
2721.activity_date,2020/12/01 q05:00:00+00,2020/12/01 05:00:00+00
752.personpremise,UqPS,UPS
1639.activity_date,220/07/22 03:59:59+00,2020/07/22 03:59:59+00
3725.activity_date,2021/02/01 0:500:00+00,2021/02/01 05:00:00+00
2927.activity_date,2020/10/08 03:59:95+00,2020/10/08 03:59:59+00
3473.address_one,2210 HOLIDAY MAONR CENTER,2210 HOLIDAY MANOR CENTER
699.request_date,220/04/27 03:59:59+00,2020/04/27 03:59:59+00
213.request_date,2020/0/424 03:59:59+00,2020/04/24 03:59:59+00
322.activity_type_desc,IELD,FIELD
4634.activity_type_desc,IFELD,FIELD
3925.personpremise,RESIENCE,RESIDENCE
608.request_date,2020/04/30 03:59:95+00,2020/04/30 03:59:59+00
539.address_one,2600 W BROADWY,2600 W BROADWAY
526.personpremise,RSEIDENT,RESIDENT
357.address_one,11315 TPO WALNUT LOOP,11315 TOP WALNUT LOOP
193.activity_type_desc,FIED,FIELD
2671.activity_type_desc,FILED,FIELD
3688.personpremise,XETENDED STAY OF AMERICA,EXTENDED STAY OF AMERICA
1112.personpremise,BUSxINESS,BUSINESS
3257.address_one,3614 BUECHL BYPASS,3614 BUECHEL BYPASS
2979.personpremise,UNuITED STATES POST OFFICE,UNITED STATES POST OFFICE
4485.personpremise,BEE O'BRADY'S,BEEF O'BRADY'S
2706.personpremise,ALPHA CHErER GYMNASTICS,ALPHA CHEER GYMNASTICS
412.activity_type_desc,FIELdD,FIELD
3743.personpremise,MCALIxSTER'S,MCALISTER'S
1355.address_one,9940 CORPORATE CAMPUSq DRIVE,9940 CORPORATE CAMPUS DRIVE
1723.activity_type_desc,FIEDL,FIELD
1144.activity_type_desc,FIEwLD,FIELD
2543.personpremise,SBUWAY,SUBWAY
3781.request_date,2020/11/23m 05:00:00+00,2020/11/23 05:00:00+00
2641.address_one,1439 DaIXIE HWY,1439 DIXIE HWY
4005.activity_type_desc,IFELD,FIELD
4645.activity_type_desc,IELD,FIELD
4088.activity_type_desc,FIEDL,FIELD
4528.personpremise,THORNTNS #24,THORNTONS #24
2801.address_one,2100 IMLLVALE DR,2100 MILLVALE DR
4143.address_one,200 7BROWNSBORO RD,2007 BROWNSBORO RD
2770.activity_date,2020/12/16 05:00:0+00,2020/12/16 05:00:00+00
451.activity_type_desc,FILD,FIELD
656.personpremise,ESIDENCE,RESIDENCE
3092.activity_type_desc,FIwELD,FIELD
4315.activity_type_desc,FIEDL,FIELD
2066.request_date,202k0/08/18 03:59:59+00,2020/08/18 03:59:59+00
1297.personpremise,PLANET FITNkESS,PLANET FITNESS
653.activity_date,2020/05/28 03:59:590+0,2020/05/28 03:59:59+00
1589.address_one,1348 RIVERk RD,1348 RIVER RD
4613.activity_date,2021/01/04 0500:00+00,2021/01/04 05:00:00+00
2841.personpremise,AIRY MART #739,DAIRY MART #739
1866.request_date,2020/08/03 03:59:590+0,2020/08/03 03:59:59+00
1120.address_one,992 LONGFIED AVE,992 LONGFIELD AVE
1615.activity_date,2020/04/32 03:59:59+00,2020/04/23 03:59:59+00
2907.activity_date,2020/j08/12 03:59:59+00,2020/08/12 03:59:59+00
906.personpremise,UMORS,RUMORS
443.activity_date,2002/07/20 03:59:59+00,2020/07/20 03:59:59+00
4064.activity_date,2020/1/24 05:00:00+00,2020/11/24 05:00:00+00
3817.personpremise,MCDONALDS',MCDONALD'S
3858.personpremise,MCONALD'S #1733,MCDONALD'S #1733
3089.personpremise,HOME DPOT,HOME DEPOT
3518.personpremise,SUPERMERCADO GANAJUATO,SUPERMERCADO GUANAJUATO
25.address_one,3939 SHELBYVILL ERD,3939 SHELBYVILLE RD
3615.request_date,202011/19 05:00:00+00,2020/11/19 05:00:00+00
3566.activity_date,2020/11/25 05:0:000+00,2020/11/25 05:00:00+00
3821.address_one,1382v ENGLISH VILLA DR,1382 ENGLISH VILLA DR
1524.request_date,2020/07/24 30:59:59+00,2020/07/24 03:59:59+00
4451.request_date,2021/02/19n 05:00:00+00,2021/02/19 05:00:00+00
258.activity_type_desc,IFELD,FIELD
341.activity_type_desc,FIaELD,FIELD
3538.request_date,2020/11/09 05:0000+00,2020/11/09 05:00:00+00
4178.address_one,102e00 LINN STATION RD STE 100,10200 LINN STATION RD STE 100
2048.personpremise,KORGER L-224,KROGER L-224
2409.activity_type_desc,IELD,FIELD
275.address_one,2010 BASHFORD LN,2100 BASHFORD LN
326.address_one,684 DIXIE HWY,6840 DIXIE HWY
3780.address_one,1776 yPLANTSIDE DR,1776 PLANTSIDE DR
2658.activity_date,20f20/11/17 05:00:00+00,2020/11/17 05:00:00+00
3765.activity_type_desc,FIEDL,FIELD
289.personpremise,SPEEDWiAY #9511,SPEEDWAY #9511
4243.activity_type_desc,FIEDL,FIELD
249.personpremise,IROQUOIS PZIZA INC.,IROQUOIS PIZZA INC.
3446.request_date,2020/08/10 0:359:59+00,2020/08/10 03:59:59+00
748.address_one,8401 AIR COMMERCEn DR,8401 AIR COMMERCE DR
3522.activity_type_desc,IELD,FIELD
6.activity_date,2020/04/07 03:59:5+00,2020/04/07 03:59:59+00
4149.activity_date,2021/01/26 0:00:00+00,2021/01/26 05:00:00+00
4289.request_date,2021/02/2 205:00:00+00,2021/02/22 05:00:00+00
4424.activity_date,2020/12/07 05:0h0:00+00,2020/12/07 05:00:00+00
4374.request_date,20210/3/24 03:59:59+00,2021/03/24 03:59:59+00
199.address_one,309 E SOUTHIDE CT,309 E SOUTHSIDE CT
2713.activity_date,2020/11/16 05:00:0+00,2020/11/16 05:00:00+00
3788.request_date,2021/02/19 05:00:00a+00,2021/02/19 05:00:00+00
56.request_date,2020/06/01 03:59:59+i00,2020/06/01 03:59:59+00
654.activity_type_desc,FzIELD,FIELD
4517.address_one,7900 SHELhBYVILLE RD STE B,7900 SHELBYVILLE RD STE B
4651.request_date,2020/12/05 05:000:0+00,2020/12/05 05:00:00+00
4124.address_one,3921 SUMIMT PLAZA DR,3921 SUMMIT PLAZA DR
4156.address_one,5363 DIXIE WY,5363 DIXIE HWY
3569.activity_type_desc,FILD,FIELD
1425.address_one,1900 BROWSNBORO RD,1900 BROWNSBORO RD
571.request_date,2020/04/21 03:59:5+00,2020/04/21 03:59:59+00
2122.request_date,2020/11/07 05:00:0000,2020/11/07 05:00:00+00
12.personpremise,TALECRS PLASMA RESOURCES,TALECRIS PLASMA RESOURCES
3537.request_date,2020/11/30 50:00:00+00,2020/11/30 05:00:00+00
3524.address_one,13303 SHELBYVLILE RD,13303 SHELBYVILLE RD
3016.personpremise,TAO BELL #34660,TACO BELL #34660
706.activity_date,a2020/07/17 03:59:59+00,2020/07/17 03:59:59+00
3589.request_date,2020/12/30 05:00:00+0h0,2020/12/30 05:00:00+00
7.request_date,2020/04/03 03:59:590+0,2020/04/03 03:59:59+00
174.request_date,202/04/16 03:59:59+00,2020/04/16 03:59:59+00
3802.activity_date,0220/11/09 05:00:00+00,2020/11/09 05:00:00+00
765.activity_date,2020/05/08 03:595:9+00,2020/05/08 03:59:59+00
1649.personpremise,CIRLCE K #4703235,CIRCLE K #4703235
4035.request_date,0220/05/14 03:59:59+00,2020/05/14 03:59:59+00
4146.personpremise,BILIARDS CLUB OF LOUISVILLE,BILLIARDS CLUB OF LOUISVILLE
1425.activity_type_desc,FEILD,FIELD
2477.request_date,2020/11/19 0500:00+00,2020/11/19 05:00:00+00
12.request_date,2020/0411 03:59:59+00,2020/04/11 03:59:59+00
1935.personpremise,WOLE FOODS MARKET,WHOLE FOODS MARKET
1618.personpremise,POP UPS HOPS,POP UP SHOPS
1027.personpremise,TUSEDAY MORNING,TUESDAY MORNING
3076.personpremise,COURIR-JOURNAL NEWSPAPER,COURIER-JOURNAL NEWSPAPER
807.address_one,12450 LAGRANGE DR,12450 LAGRANGE RD
951.activity_date,2020/05/28 03:59:59v+00,2020/05/28 03:59:59+00
187.activity_type_desc,FIhELD,FIELD
4597.activity_date,2020/12/28 50:00:00+00,2020/12/28 05:00:00+00
949.personpremise,KRjOGER L-763,KROGER L-763
1800.address_one,2930 BARDSTONW RD,2930 BARDSTOWN RD
2622.activity_type_desc,FIEDL,FIELD
2958.activity_type_desc,FIEDL,FIELD
1404.address_one,200 0NELSON MILLER PKWY,2000 NELSON MILLER PKWY
923.request_date,200/04/02 03:59:59+00,2020/04/02 03:59:59+00
4545.activity_type_desc,FIELcD,FIELD
118.request_date,2020/063/0 03:59:59+00,2020/06/30 03:59:59+00
3207.request_date,200/09/30 03:59:59+00,2020/09/30 03:59:59+00
1120.activity_type_desc,FELD,FIELD
1257.activity_type_desc,IELD,FIELD
2026.activity_date,2020/10/21 03:59:59+n00,2020/10/21 03:59:59+00
2004.request_date,2020/07/16 03:c59:59+00,2020/07/16 03:59:59+00
1284.request_date,2020/05/21 03:5959+00,2020/05/21 03:59:59+00
4397.activity_type_desc,IELD,FIELD
2760.activity_date,2020/12/07 05:00:0000,2020/12/07 05:00:00+00
4498.request_date,200/11/03 05:00:00+00,2020/11/03 05:00:00+00
1683.activity_date,2020/04/10 03:5959+00,2020/04/10 03:59:59+00
1575.address_one,3901 TAYLO RBLVD,3901 TAYLOR BLVD
4279.activity_date,2020/s12/03 05:00:00+00,2020/12/03 05:00:00+00
338.personpremise,AXIS ON LEXINTON APARTMENTS,AXIS ON LEXINGTON APARTMENTS
1463.activity_date,2020/08/10 03:59:5u9+00,2020/08/10 03:59:59+00
181.request_date,202004/20 03:59:59+00,2020/04/20 03:59:59+00
3710.activity_date,202/11/17 05:00:00+00,2020/11/17 05:00:00+00
2308.activity_type_desc,FIEDL,FIELD
1287.personpremise,MITCHELL'S FIgSH MARKET,MITCHELL'S FISH MARKET
2109.personpremise,AYA FOOD MAT,AYA FOOD MART
2240.activity_type_desc,FIcELD,FIELD
1229.activity_date,2020/07/15 03:9:59+00,2020/07/15 03:59:59+00
4518.activity_date,2020/12/10 05:00:00+00***,2020/12/10 05:00:00+00
1829.address_one,1699 DIXIE HWY,11699 DIXIE HWY
283.address_one,1718 BARDSTOWN D,1718 BARDSTOWN RD
3766.personpremise,WALMART #4542,WALMART #4524
1986.activity_type_desc,FEILD,FIELD
272.activity_type_desc,FIEDL,FIELD
2317.personpremise,LOUISVILLE RACQUE CLUB,LOUISVILLE RACQUET CLUB
1283.personpremise,PARKmING LOT,PARKING LOT
2661.activity_type_desc,FwIELD,FIELD
3177.request_date,2020/70/25 03:59:59+00,2020/07/25 03:59:59+00
3811.personpremise,LANDMARK OFj IROQUOIS PARK,LANDMARK OF IROQUOIS PARK
56.personpremise,SPEEDWAY #9710,SPEEDWAY #9701
3644.address_one,575 EASTERN PKWbY,575 EASTERN PKWY
1514.request_date,2200/07/02 03:59:59+00,2020/07/02 03:59:59+00
1067.activity_date,2020/07/06 03:59:590+0,2020/07/06 03:59:59+00
1931.request_date,2020/11/17 05:00:0+00,2020/11/17 05:00:00+00
3427.personpremise,AMVETS PlOST 1,AMVETS POST 1
4293.personpremise,STzARBUCKS #24257,STARBUCKS #24257
3791.personpremise,MDONALD'S,MCDONALD'S
1663.activity_type_desc,FIElLD,FIELD
2010.personpremise,FERN CREEK COSNIGNMENT,FERN CREEK CONSIGNMENT
1990.personpremise,KROGER L-364,KROGER L-346
2623.activity_date,202j0/08/10 03:59:59+00,2020/08/10 03:59:59+00
3824.activity_date,2020/10/26 03:5959+00,2020/10/26 03:59:59+00
3204.request_date,2020/09/1 03:59:59+00,2020/09/21 03:59:59+00
3995.address_one,151 GOSS AVE,1151 GOSS AVE
338.activity_date,200/04/12 03:59:59+00,2020/04/12 03:59:59+00
2623.activity_type_desc,FIEDL,FIELD
4680.activity_date,2021/03/08 05:00:0+000,2021/03/08 05:00:00+00
3821.activity_type_desc,FIoELD,FIELD
379.personpremise,CrOURTESY BUICK GMC,COURTESY BUICK GMC
2714.request_date,2020/07/25 03:59:59g+00,2020/07/25 03:59:59+00
3912.request_date,2020/05/04 03:59:5+900,2020/05/04 03:59:59+00
4548.request_date,202m0/11/19 05:00:00+00,2020/11/19 05:00:00+00
4276.personpremise,MEIyJER,MEIJER
3816.activity_type_desc,FILED,FIELD
755.address_one,4838 POLPAR LEVEL RD,4838 POPLAR LEVEL RD
1830.address_one,11721 MAIN fST,11721 MAIN ST
1584.address_one,116x SEARS AVE,116 SEARS AVE
1114.activity_date,2u020/08/10 03:59:59+00,2020/08/10 03:59:59+00
869.activity_type_desc,FIED,FIELD
391.personpremise,RESIDbENCE,RESIDENCE
3274.request_date,2020/07/31 03:59:5+900,2020/07/31 03:59:59+00
3325.personpremise,LABOR WORSK,LABOR WORKS
3081.request_date,2l021/02/09 05:00:00+00,2021/02/09 05:00:00+00
3611.request_date,220/06/15 03:59:59+00,2020/06/15 03:59:59+00
2337.request_date,f2020/08/12 03:59:59+00,2020/08/12 03:59:59+00
3337.address_one,4237 1/2 OUETR LOOP,4237 1/2 OUTER LOOP
4208.activity_date,221/02/23 05:00:00+00,2021/02/23 05:00:00+00
2094.activity_type_desc,mFIELD,FIELD
2049.activity_date,020/07/28 03:59:59+00,2020/07/28 03:59:59+00
3778.activity_date,2021/05/18 03:595:9+00,2021/05/18 03:59:59+00
809.request_date,2020/04/22 30:59:59+00,2020/04/22 03:59:59+00
1421.request_date,2020/04/20 03:5a9:59+00,2020/04/20 03:59:59+00
4369.request_date,2021/0/119 05:00:00+00,2021/01/19 05:00:00+00
1233.activity_type_desc,FIEDL,FIELD
1106.address_one,6415 BARDSOWN RD,6415 BARDSTOWN RD
3858.address_one,4445 CANE RUNRD,4445 CANE RUN RD
2274.personpremise,JEFERSON MALL,JEFFERSON MALL
3325.address_one,3206 PRESTONHWY,3206 PRESTON HWY
144.activity_type_desc,FILED,FIELD
4100.activity_type_desc,FIELjD,FIELD
3705.activity_date,021/02/22 05:00:00+00,2021/02/22 05:00:00+00
2403.activity_date,020/07/17 03:59:59+00,2020/07/17 03:59:59+00
2273.personpremise,BJ' SPORTS PUB,BJ'S SPORTS PUB
4187.personpremise,LOWcES,LOWES
2588.request_date,20m20/08/10 03:59:59+00,2020/08/10 03:59:59+00
3517.activity_date,2020/11/2q3 05:00:00+00,2020/11/23 05:00:00+00
4444.activity_type_desc,FIbELD,FIELD
2755.activity_type_desc,lFIELD,FIELD
4595.address_one,7002 OLD SHqEPHERDSVILLE RD,7002 OLD SHEPHERDSVILLE RD
3543.request_date,200/12/05 05:00:00+00,2020/12/05 05:00:00+00
694.request_date,2020/04/24x 03:59:59+00,2020/04/24 03:59:59+00
1030.activity_date,2020/05/11 0:359:59+00,2020/05/11 03:59:59+00
766.activity_type_desc,IFELD,FIELD
2711.personpremise,POST OFFIvCE,POST OFFICE
640.personpremise,TARGET -T2473 STARBUCKS,TARGET T-2473 STARBUCKS
719.address_one,4126 TAYLR BLVD,4126 TAYLOR BLVD
178.request_date,2020/40/20 03:59:59+00,2020/04/20 03:59:59+00
1136.request_date,2020/07/23o 03:59:59+00,2020/07/23 03:59:59+00
3339.activity_date,2020/10/15 03:9:59+00,2020/10/15 03:59:59+00
1165.activity_type_desc,FuIELD,FIELD
1199.address_one,9913 BROWNSBOROR D,9913 BROWNSBORO RD
3257.activity_type_desc,FIEDL,FIELD
2331.address_one,730 BISHOP LN,3730 BISHOP LN
3253.request_date,2020/11/07 05:00:0+00,2020/11/07 05:00:00+00
3300.activity_type_desc,FIED,FIELD
108.address_one,5546 INlDIAN OAKS CIRCLE,5546 INDIAN OAKS CIRCLE
1390.request_date,2020/07/14 30:59:59+00,2020/07/14 03:59:59+00
2469.activity_date,2020/11/04w 05:00:00+00,2020/11/04 05:00:00+00
243.request_date,2020r/06/12 03:59:59+00,2020/06/12 03:59:59+00
1007.address_one,51l00 NORTON HEALTHCARE BLVD,5100 NORTON HEALTHCARE BLVD
1658.personpremise,PPOEYE'S,POPEYE'S
3612.address_one,3333 BARDSTOyWN RD STE 1,3333 BARDSTOWN RD STE 1
824.personpremise,ADVANCED ENgT & ALLERGY CLINIC,ADVANCED ENT & ALLERGY CLINIC
3112.address_one,3801 FRANKFORnT AVE,3801 FRANKFORT AVE
468.personpremise,MORTENSENg FAMILY DENTAL,MORTENSEN FAMILY DENTAL
1099.request_date,2020/04/17 0:359:59+00,2020/04/17 03:59:59+00
2378.address_one,2601  WBROADWAY,2601 W BROADWAY
1627.activity_date,2020/10/29 0z3:59:59+00,2020/10/29 03:59:59+00
2455.request_date,2020/10/2 703:59:59+00,2020/10/27 03:59:59+00
145.address_one,10513 AWTTERSON TRAIL,10513 WATTERSON TRAIL
405.address_one,9204 TAYLORSVILLE qRD,9204 TAYLORSVILLE RD
1988.activity_date,2020/08/9 03:59:59+00,2020/08/19 03:59:59+00
642.address_one,651v8 BLEVINS GAP RD,6518 BLEVINS GAP RD
112.activity_date,2020a/06/22 03:59:59+00,2020/06/22 03:59:59+00
4419.personpremise,HEART ON MELLWOOD AVENUE,HEARTH ON MELLWOOD AVENUE
115.address_one,9521US HWY 42,9521 US HWY 42
1695.personpremise,FAZOLvI'S,FAZOLI'S
2662.personpremise,UTLOOK INN,OUTLOOK INN
263.activity_type_desc,FIEkLD,FIELD
278.activity_date,2020/0/603 03:59:59+00,2020/06/03 03:59:59+00
132.activity_type_desc,IELD,FIELD
3682.address_one,6801 DIXIEHWY,6801 DIXIE HWY
2757.activity_type_desc,FIlELD,FIELD
359.activity_type_desc,FIEDL,FIELD
4333.address_one,2301 BAvRDSTOWN RD,2301 BARDSTOWN RD
3262.address_one,6900 BARDSTOWzN RD,6900 BARDSTOWN RD
3636.personpremise,BILiLY GOAT TAVERN KY AKA THE GOAT,BILLY GOAT TAVERN KY AKA THE GOAT
996.activity_type_desc,FIELsD,FIELD
4329.address_one,3x342 PRESTON HWY,3342 PRESTON HWY
2146.activity_type_desc,FIgELD,FIELD
3882.request_date,2021/04/13 03:9:59+00,2021/04/13 03:59:59+00
2829.address_one,9206 BLUEICK RD,9206 BLUELICK RD
3982.address_one,402 TOWNE CENTER DR,4002 TOWNE CENTER DR
4061.personpremise,EL TENAMPA BAR & GRLIL,EL TENAMPA BAR & GRILL
4561.activity_type_desc,FIELzD,FIELD
2297.activity_type_desc,IFELD,FIELD
1985.activity_type_desc,FEILD,FIELD
553.request_date,2020/4/06 03:59:59+00,2020/04/06 03:59:59+00
3006.request_date,2020/09/02 03:5c9:59+00,2020/09/02 03:59:59+00
1703.activity_date,2020/06/30 03:59:59+0e0,2020/06/30 03:59:59+00
2983.personpremise,PARK DUVALLE FMAILY HEALTH CENTER,PARK DUVALLE FAMILY HEALTH CENTER
2258.request_date,2020/10/27 03:59:59s+00,2020/10/27 03:59:59+00
3005.address_one,274 FRANKFORT AVE,2714 FRANKFORT AVE
3121.address_one,3131 CRMUS LN,3131 CRUMS LN
734.personpremise,PS,UPS
4470.address_one,6633 DIXIE HYW,6633 DIXIE HWY
2611.address_one,8232 PRESOTN HWY,8232 PRESTON HWY
365.address_one,73 7S 8TH ST,737 S 8TH ST
3438.address_one,930BAXTER AVE,930 BAXTER AVE
74.request_date,2020/04/14 0p3:59:59+00,2020/04/14 03:59:59+00
628.address_one,110 BLUE LICK RD,9110 BLUE LICK RD
4329.request_date,20210/1/13 05:00:00+00,2021/01/13 05:00:00+00
4360.request_date,202/101/25 05:00:00+00,2021/01/25 05:00:00+00
2849.activity_type_desc,FIEDL,FIELD
4530.personpremise,KAMAN INDUSTRIALT ECHNOLOGIES,KAMAN INDUSTRIAL TECHNOLOGIES
979.activity_type_desc,IELD,FIELD
59.personpremise,OMPLETE TRANSFER,COMPLETE TRANSFER
1963.personpremise,EMSW OMEN CENTER,EMS WOMEN CENTER
1970.personpremise,RESIDETN,RESIDENT
3596.address_one,3348 HIKES LN UNIT 109,3348 HIKES LN  UNIT 109
2725.address_one,3517 CANE RUN RoD,3517 CANE RUN RD
2266.activity_date,2020/11/13 05:0:000+00,2020/11/13 05:00:00+00
591.request_date,2020/0511 03:59:59+00,2020/05/11 03:59:59+00
2788.request_date,2020/70/16 03:59:59+00,2020/07/16 03:59:59+00
3183.address_one,6620 SIX MIL LN,6620 SIX MILE LN
3216.activity_type_desc,uFIELD,FIELD
3300.activity_date,2020/11/11 05:00:00+0,2020/11/11 05:00:00+00
2016.activity_date,2020/09/28 03:5:59+00,2020/09/28 03:59:59+00
2840.personpremise,SPEaEDWAY #9645,SPEEDWAY #9645
3402.activity_type_desc,FIED,FIELD
486.activity_date,2020/07/03 03:5959+00,2020/07/03 03:59:59+00
2018.request_date,2020/10/07 03:59t:59+00,2020/10/07 03:59:59+00
4694.activity_type_desc,aFIELD,FIELD
3541.address_one,131 BARDSTOWN RD,8131 BARDSTOWN RD
3722.personpremise,LOUISVInLLE ATHLETIC CLUB,LOUISVILLE ATHLETIC CLUB
4720.activity_type_desc,mFIELD,FIELD
1984.activity_type_desc,FIED,FIELD
202.activity_date,2020/05/0 03:59:59+00,2020/05/01 03:59:59+00
3856.address_one,4220l BARDSTOWN RD,4220 BARDSTOWN RD
4520.activity_date,202/012/14 05:00:00+00,2020/12/14 05:00:00+00
119.activity_type_desc,vFIELD,FIELD
1260.request_date,2020/0h4/20 03:59:59+00,2020/04/20 03:59:59+00
3777.address_one,4530 BELLEVUE AVE***,4530 BELLEVUE AVE
101.personpremise,KROGER L-372,KROGER L-327
3876.address_one,5608 OTER LOOP,5608 OUTER LOOP
1477.activity_type_desc,FIEDL,FIELD
3109.request_date,2020/10/26 03:59:9+00,2020/10/26 03:59:59+00
4126.request_date,2020/07/06 03:59:59+0,2020/07/06 03:59:59+00
2355.activity_date,2020/08/27 30:59:59+00,2020/08/27 03:59:59+00
1319.activity_date,2020/05/01 03:59:9+00,2020/05/01 03:59:59+00
973.activity_type_desc,FnIELD,FIELD
2222.address_one,0710 RAGGARD RD,7010 RAGGARD RD
3545.activity_date,2020/12/09 05:00:00a+00,2020/12/09 05:00:00+00
730.address_one,7500 CRANFILL WY,7500 CRANFILL WAY
2872.address_one,13401 DIXI EHWY,13401 DIXIE HWY
4189.activity_type_desc,FEILD,FIELD
3466.personpremise,MANOG'S MEXICAN GRILL,MANGO'S MEXICAN GRILL
106.activity_date,2020/0s5/15 03:59:59+00,2020/05/15 03:59:59+00
482.activity_type_desc,FELD,FIELD
4591.request_date,2020/07/14 03:59:590+0,2020/07/14 03:59:59+00
2516.address_one,920 BLANKENBAKER PhKY,920 BLANKENBAKER PKY
3566.address_one,2225 TAYLORSVILEL RD,2225 TAYLORSVILLE RD
32.activity_type_desc,FIqELD,FIELD
3604.request_date,2020/06/10 03:595:9+00,2020/06/10 03:59:59+00
2436.request_date,2020/07/16 03:59:j59+00,2020/07/16 03:59:59+00
2912.request_date,2020/08/13 035:9:59+00,2020/08/13 03:59:59+00
1225.address_one,700 E MARKETS T,700 E MARKET ST
262.personpremise,CRYO LOUgNGE,CRYO LOUNGE
552.activity_date,2020/04/08 0359:59+00,2020/04/08 03:59:59+00
2273.activity_type_desc,IELD,FIELD
687.request_date,2020/04/20 03:5c9:59+00,2020/04/20 03:59:59+00
2278.address_one,332 0BARDSTOWN RD,3320 BARDSTOWN RD
4228.request_date,2020/11/30 u05:00:00+00,2020/11/30 05:00:00+00
2053.personpremise,RUBY DENATL,RUBY DENTAL
1239.request_date,2020/07/14 o03:59:59+00,2020/07/14 03:59:59+00
504.activity_date,2020/07/27 03:59:k59+00,2020/07/27 03:59:59+00
3931.activity_date,2020/7/15 03:59:59+00,2020/07/15 03:59:59+00
595.personpremise,HYUNDAI O FLOUISVILLE,HYUNDAI OF LOUISVILLE
4044.activity_type_desc,FIED,FIELD
1176.personpremise,Ox'REILEY AUTO PARTS,O'REILEY AUTO PARTS
1048.address_one,4200 RIVER RD***,4200 RIVER RD
3525.personpremise,SPRINGHURST HEALTH & REAHB,SPRINGHURST HEALTH & REHAB
4102.request_date,2020/11/24 05:00:00+00***,2020/11/24 05:00:00+00
2813.address_one,8601 DIXIE HWY,8610 DIXIE HWY
4664.activity_type_desc,FELD,FIELD
4665.address_one,535 7DIXIE HWY,5357 DIXIE HWY
4029.request_date,2021/04/26 w03:59:59+00,2021/04/26 03:59:59+00
2871.address_one,204 RIVER RD,2045 RIVER RD
1413.request_date,2020/40/11 03:59:59+00,2020/04/11 03:59:59+00
2460.address_one,4000 PPOLAR LEVEL RD,4000 POPLAR LEVEL RD
2972.activity_date,2020/08/10 03:59:59+00***,2020/08/10 03:59:59+00
2132.activity_type_desc,FrIELD,FIELD
3703.personpremise,CHEWY PHARMACpY,CHEWY PHARMACY
3952.request_date,2020/11/09 05:0:00+00,2020/11/09 05:00:00+00
3881.personpremise,MOBY DIK,MOBY DICK
310.activity_type_desc,FIED,FIELD
2206.activity_date,2020/12/0g1 05:00:00+00,2020/12/01 05:00:00+00
2447.activity_type_desc,FILED,FIELD
4140.address_one,93 EASTERN PKWY,793 EASTERN PKWY
3414.activity_type_desc,FIEDL,FIELD
3034.request_date,2020/07/17 03:x59:59+00,2020/07/17 03:59:59+00
272.activity_date,2020/05/21 03:59:59+r00,2020/05/21 03:59:59+00
534.address_one,111 S 11T STREET,111 S 11TH STREET
4724.activity_date,2020/09/17 03:59:59p+00,2020/09/17 03:59:59+00
1270.activity_type_desc,FIEDL,FIELD
