802.street,20700 ST RTE 4j11,20700 ST RTE 411
1970.facilityname,SHAFT 9 DELAWRE AQUEDUCT,SHAFT 9 DELAWARE AQUEDUCT
960.spdespermitnumber,NY00202b57,NY0020257
648.groundorsurface,Surhface,Surface
1229.city,SYRACUSpE,SYRACUSE
1676.country,UvSA,USA
456.groundorsurface,Surace,Surface
219.facilityname,CADYVILE WASTEWATER TREATMENT PLANT,CADYVILLE WASTEWATER TREATMENT PLANT
1725.planttype,unicipal,Municipal
645.city,CATTARAUUGS,CATTARAUGUS
1319.locationone,"(42.84, -77.8)8","(42.84, -77.88)"
448.planttype,Industril,Industrial
2068.spdespermitnumber,NY011019,NY0110019
625.facilityname,GLOBAL COMPANIES LLC - NEWBURGH ERMINAL,GLOBAL COMPANIES LLC - NEWBURGH TERMINAL
1112.street,100 STATEz ST,100 STATE ST
1402.street,30  W SERVICE RD,310  W SERVICE RD
470.statevalue,NlY,NY
419.groundorsurface,Surqface,Surface
734.groundorsurface,Surhface,Surface
1920.country,UAS,USA
1914.city,LMA,ELMA
312.statevalue,NdY,NY
1323.facilityname,SAATOGA RACE TRACK,SARATOGA RACE TRACK
979.city,CLArY,CLAY
102.country,aUSA,USA
870.planttype,Mnuicipal,Municipal
1147.statevalue,NiY,NY
729.locationone,"(40.79, -73.1)","(40.79, -73.91)"
1208.country,UuSA,USA
172.planttype,Muniipal,Municipal
2027.statevalue,Y,NY
690.city,pTiconderoga,Ticonderoga
50.statevalue,eNY,NY
117.street,488 ST RTE 5 W|1300' W OF AMILTON RD,488 ST RTE 5 W|1300' W OF HAMILTON RD
1044.locationone,"(40.79, -37.22)","(40.79, -73.22)"
1903.street,COWELL TS,COWELL ST
510.country,UAS,USA
845.facilityname,LEHIGH CEMENTC OMPANY LLC,LEHIGH CEMENT COMPANY LLC
597.locationone,"(42.24t, -75.91)","(42.24, -75.91)"
1313.statevalue,YN,NY
188.spdespermitnumber,NY0086497,NY0086479
1795.statevalue,Y,NY
671.planttype,Muncipal,Municipal
664.country,qUSA,USA
1821.spdespermitnumber,tNY0109029,NY0109029
643.statevalue,YN,NY
145.country,SA,USA
1206.country,UAS,USA
1324.street,aRESERVOIR ROAD,RESERVOIR ROAD
868.country,eUSA,USA
2072.city,SCHENETADY,SCHENECTADY
272.country,USzA,USA
1514.city,ILOIN,ILION
1181.city,STUYVSEANT,STUYVESANT
49.country,UA,USA
1074.facilityname,MIDDLE ISLANDL AUNDROMAT,MIDDLE ISLAND LAUNDROMAT
1809.country,USdA,USA
1100.city,OHEMIA,BOHEMIA
1768.city,AY BROOK,RAY BROOK
472.locationone,"g(41.06, -73.95)","(41.06, -73.95)"
337.planttype,Muniipal,Municipal
274.country,UA,USA
1989.spdespermitnumber,NY0256135,NY0256315
1494.planttype,Industial,Industrial
1612.statevalue,Y,NY
1059.planttype,Industriqal,Industrial
1452.street,SLEEPY HOLLWO RD,SLEEPY HOLLOW RD
320.planttype,uMnicipal,Municipal
1583.country,UySA,USA
890.city,gCHEMUNG,CHEMUNG
346.statevalue,nNY,NY
965.spdespermitnumber,NY0026208,NY0026280
851.street,GRDEN ST - N SIDE BY INDIAN R,GARDEN ST - N SIDE BY INDIAN R
722.spdespermitnumber,NY021m7760,NY0217760
62.facilityname,GARLOCK SEALING TECHwNOLOGIES,GARLOCK SEALING TECHNOLOGIES
747.locationone,"(41.4, -74.19g)","(41.4, -74.19)"
1617.country,UAS,USA
1519.locationone,"(43.13, -77h.18)","(43.13, -77.18)"
1346.statevalue,NhY,NY
452.street,680 OLD WHITE LAKE TPKE,608 OLD WHITE LAKE TPKE
1322.groundorsurface,round,Ground
1615.street,26 Werner Schluetr Way,26 Werner Schluter Way
1659.groundorsurface,Surfaec,Surface
214.facilityname,WATERVIEiW AT GREENPOINT,WATERVIEW AT GREENPOINT
1239.statevalue,NuY,NY
441.facilityname,FILMLORE GREENHOUSES INC,FILLMORE GREENHOUSES INC
1090.country,qUSA,USA
1124.street,519 NICHOLSw RD,519 NICHOLS RD
1673.facilityname,HANNAFORD BROS DISTRIBUTION FACIjLITY,HANNAFORD BROS DISTRIBUTION FACILITY
1811.planttype,Mnicipal,Municipal
739.locationone,"(43.1 ,-78.93)","(43.1, -78.93)"
764.statevalue,YN,NY
617.statevalue,mNY,NY
103.groundorsurface,Surfaec,Surface
1778.facilityname,SLATEH ILL MINE,SLATE HILL MINE
1005.country,dUSA,USA
794.street,4d0 CANAL ST,40 CANAL ST
728.groundorsurface,Surfce,Surface
1893.country,SUA,USA
389.facilityname,FULTN - C STP,FULTON - C STP
1767.facilityname,VLILAGE OF CORFU WASTEWATER TREATMENT FACILITY (2),VILLAGE OF CORFU WASTEWATER TREATMENT FACILITY (2)
167.statevalue,NvY,NY
734.street,hST RTE 9J - S MAIN ST,ST RTE 9J - S MAIN ST
293.street,601 MNOTAUK HWY,601 MONTAUK HWY
950.country,UA,USA
1704.statevalue,Y,NY
679.planttype,Industriral,Industrial
1971.statevalue,YN,NY
805.city,SUTH GLENS FALLS,SOUTH GLENS FALLS
1.facilityname,NEW MILLER PLACE LAUDNROMAT,NEW MILLER PLACE LAUNDROMAT
2.city,PTEERSBURG,PETERSBURG
413.groundorsurface,Surfcae,Surface
836.street,PINES RD,PINES DR
302.spdespermitnumber,hNY0033995,NY0033995
1209.statevalue,Y,NY
1074.country,xUSA,USA
141.planttype,Industrila,Industrial
696.locationone,(40.57 -74.14),"(40.57, -74.14)"
1527.country,SUA,USA
438.groundorsurface,Surxface,Surface
690.planttype,Industril,Industrial
1257.planttype,Municipadl,Municipal
1359.locationone,"(42.88, 73.69)","(42.88, -73.69)"
1740.street,7737KELLOGG RD,7737 KELLOGG RD
268.spdespermitnumber,NY003086u4,NY0030864
2060.spdespermitnumber,NY0080494,NY0008494
436.planttype,Industriakl,Industrial
707.groundorsurface,Surfaec,Surface
943.locationone,"(4148, -73.65)","(41.48, -73.65)"
1148.statevalue,YN,NY
1465.street,15 RIVE RRD,15 RIVER RD
1310.street,PLANK RD & BARTLETT PONDb RD,PLANK RD & BARTLETT POND RD
238.locationone,"(43.32u, -78.84)","(43.32, -78.84)"
1232.statevalue,YN,NY
517.locationone,"(42.43, -78.41)","(42.43, -78.14)"
1618.city,GAtLWAY,GALWAY
1218.spdespermitnumber,YN0073113,NY0073113
2087.planttype,nIdustrial,Industrial
1897.facilityname,VILLAE OF REMSEN WWTF,VILLAGE OF REMSEN WWTF
399.city,KINGSTNO,KINGSTON
331.country,UuSA,USA
1963.facilityname,SPECTRAGRAHPIC INC,SPECTRAGRAPHIC INC
1331.country,UAS,USA
814.locationone,"(r43.11, -78.94)","(43.11, -78.94)"
958.country,SA,USA
704.spdespermitnumber,NY0025315,NY0023515
1280.locationone,"(42.84,-76.94)","(42.84, -76.94)"
69.groundorsurface,round,Ground
1164.statevalue,vNY,NY
344.statevalue,YN,NY
34.locationone,"(4.407, -76.13)","(44.07, -76.13)"
1094.country,UA,USA
1347.city,SqCHENECTADY,SCHENECTADY
219.groundorsurface,Surrface,Surface
261.spdespermitnumber,NY0259w110,NY0259110
1439.facilityname,HYRDAMEC INC,HYDRAMEC INC
1692.city,VIrCTOR,VICTOR
720.city,SUFFOK,SUFFOLK
1224.spdespermitnumber,NY0210375,NY0201375
974.facilityname,NEW YORK STATE DAM AT WATERFORD/COHES,NEW YORK STATE DAM AT WATERFORD/COHOES
466.street,50 HORSELOCK RD,50 HORSEBLOCK RD
190.spdespermitnumber,N0Y161942,NY0161942
214.groundorsurface,Suface,Surface
778.facilityname,MACARIVINEYARDS,MACARI VINEYARDS
1397.spdespermitnumber,NY0106897,NY0106879
632.city,HUNTINGTON STATOIN,HUNTINGTON STATION
937.groundorsurface,Surfae,Surface
59.street,20 VESEY ST,250 VESEY ST
343.statevalue,Y,NY
958.statevalue,YN,NY
711.planttype,Indutsrial,Industrial
1478.facilityname,IBM CORP SOUTH RD FAICLITY,IBM CORP SOUTH RD FACILITY
316.spdespermitnumber,NY011418,NY0110418
1401.locationone,"(40.8, -73.7)","(40.8, -73.73)"
1088.groundorsurface,Groudn,Ground
1514.locationone,"(42.99, 7-5.05)","(42.99, -75.05)"
726.planttype,Inudstrial,Industrial
1714.country,fUSA,USA
143.country,UAS,USA
284.country,UStA,USA
1080.facilityname,MEoTRO NORTH RAILROAD PORT JERVIS YARD,METRO NORTH RAILROAD PORT JERVIS YARD
173.statevalue,zNY,NY
989.street,1801 RICHMOD TER,1801 RICHMOND TER
642.locationone,"(4.30, -78.41)","(43.0, -78.41)"
1341.spdespermitnumber,YN0257176,NY0257176
36.locationone,"42.65, -73.93)","(42.65, -73.93)"
949.locationone,"(42.74, -7.81)","(42.74, -73.81)"
1269.street,725 VETERANS MEMORIL HWY,725 VETERANS MEMORIAL HWY
674.locationone,(41.79 -73.7),"(41.79, -73.7)"
1338.facilityname,MERCURY AIRfCRAFT,MERCURY AIRCRAFT
60.groundorsurface,Surfce,Surface
1246.locationone,"(43.01, -5.01)","(43.01, -75.01)"
1764.planttype,Inustrial,Industrial
1585.facilityname,CITGO HOLDING TERMINALS LLC GLxENMONT TERMINAL,CITGO HOLDING TERMINALS LLC GLENMONT TERMINAL
275.street,6653 ERDMAN RD,6653 HERDMAN RD
457.statevalue,YN,NY
429.country,UA,USA
1290.facilityname,JEFFERSON COUNTY HIGHWAY GAlRAGE,JEFFERSON COUNTY HIGHWAY GARAGE
1555.locationone,"(44.16, -75.04d)","(44.16, -75.04)"
1038.groundorsurface,Suqrface,Surface
1634.spdespermitnumber,NY014306,NY0149306
377.planttype,wMunicipal,Municipal
2082.planttype,Industril,Industrial
217.statevalue,Y,NY
1729.facilityname,SPRINGyVILLE WWTP,SPRINGVILLE WWTP
1202.planttype,Industrixal,Industrial
519.locationone,"(44.63, -75.e09)","(44.63, -75.09)"
1728.facilityname,NFB CARBON PROUDCTS LLC,NFB CARBON PRODUCTS LLC
1132.facilityname,EASTbMAN BUSINESS PARK,EASTMAN BUSINESS PARK
1667.facilityname,WOODHULL -T WASTE WATER TREATMENyT PLANT,WOODHULL -T WASTE WATER TREATMENT PLANT
791.city,SSEX,ESSEX
1302.groundorsurface,Suurface,Surface
370.groundorsurface,Surfaec,Surface
300.facilityname,ELLICOTTVILLE WWP,ELLICOTTVILLE WWTP
1517.statevalue,Y,NY
821.groundorsurface,Surhface,Surface
476.planttype,fMunicipal,Municipal
1193.groundorsurface,Surfacqe,Surface
144.city,AMILTON,HAMILTON
986.groundorsurface,Suface,Surface
96.street,290 RIVERISDE AVE,290 RIVERSIDE AVE
980.facilityname,FREEPOTR POWER PLANT #1,FREEPORT POWER PLANT #1
513.spdespermitnumber,NnY0070033,NY0070033
1231.facilityname,WHITE PLAINS SBUSTATION,WHITE PLAINS SUBSTATION
1519.city,MRION,MARION
1122.statevalue,Y,NY
272.facilityname,TELESCOPE CASUAL FlURNITURE,TELESCOPE CASUAL FURNITURE
528.spdespermitnumber,YN0004308,NY0004308
1603.statevalue,lNY,NY
484.street,6067 S MAIlN ST,6067 S MAIN ST
307.statevalue,Y,NY
1092.facilityname,BAYSIDE UEL OIL DEPOT-1100 GRAND ST,BAYSIDE FUEL OIL DEPOT-1100 GRAND ST
1193.statevalue,uNY,NY
1670.planttype,Municeipal,Municipal
1366.street,330 BLAISDEL RD,330 BLAISDELL RD
861.street,WATER PLATN RD,WATER PLANT RD
1110.spdespermitnumber,cNY0250406,NY0250406
1623.locationone,"(43.41, -73.27)","(43.41, -73.72)"
1255.facilityname,ADM CORNPROCESSING,ADM CORN PROCESSING
845.street,313 WARqREN ST,313 WARREN ST
378.facilityname,AUByURN - C WTR TREAT PLT,AUBURN - C WTR TREAT PLT
1110.groundorsurface,Surfce,Surface
826.city,NEWBURH,NEWBURGH
1930.street,LILY DLE OFF FRISBEE RD,LILY DALE OFF FRISBEE RD
176.city,ROCcHESTER,ROCHESTER
115.street,5250 NORTH TS,5250 NORTH ST
1258.country,UoSA,USA
750.facilityname,TOWN & COUNTRY LAUNDORMAT,TOWN & COUNTRY LAUNDROMAT
1513.groundorsurface,Surfaec,Surface
1085.country,SA,USA
1336.planttype,Indusltrial,Industrial
1181.country,UnSA,USA
970.groundorsurface,urface,Surface
718.street,40 ENGINEERS DR,40 ENGINEERS RD
382.city,JONSTOWN,JOHNSTOWN
359.groundorsurface,Surfce,Surface
2059.groundorsurface,Gorund,Ground
1139.facilityname,CHATHAM DOT MAINTENwANCE SUBHEADQUARTERS,CHATHAM DOT MAINTENANCE SUBHEADQUARTERS
460.city,POR TEWEN,PORT EWEN
759.spdespermitnumber,NY056552,NY0256552
1342.street,ST RTE 32 - �MI E OF ST RTE 50,ST RTE 32 - � MI E OF ST RTE 50
1999.groundorsurface,Surace,Surface
1337.facilityname,RENSSELAER -C COMBdINED SEWER OVERFLOWS,RENSSELAER -C COMBINED SEWER OVERFLOWS
879.locationone,"(429.9, -78.9)","(42.99, -78.9)"
712.statevalue,vNY,NY
244.facilityname,ALMA HLIL LEASE,ALMA HILL LEASE
817.locationone,"(40.78, -73.22l)","(40.78, -73.22)"
1534.country,UAS,USA
2032.planttype,Indsutrial,Industrial
2078.statevalue,Y,NY
1896.statevalue,NjY,NY
1793.groundorsurface,urface,Surface
1834.facilityname,BALDWIN RICHARDSON FOnODS COMPANY DISTRIBUTION CENTER,BALDWIN RICHARDSON FOODS COMPANY DISTRIBUTION CENTER
86.facilityname,MCENROE ORGANICn COMPOSTING,MCENROE ORGANIC COMPOSTING
921.statevalue,wNY,NY
1204.city,SOUHT KORTRIGHT,SOUTH KORTRIGHT
1794.city,FERNDAE,FERNDALE
1524.street,242 MOUNTAINDLE RD,242 MOUNTAINDALE RD
71.locationone,"(2.45, -78.92)","(42.45, -78.92)"
730.statevalue,YN,NY
1368.street,Swarthoutg Rd,Swarthout Rd
1194.country,SA,USA
282.street,761 MAKEN RD,7614 MAKEN RD
316.planttype,Mcunicipal,Municipal
1120.street,640 YOUN ST,640 YOUNG ST
423.groundorsurface,Surfaec,Surface
376.groundorsurface,Surfae,Surface
1143.country,SA,USA
1594.street,RET 30,RTE 30
1226.planttype,Idnustrial,Industrial
604.street,590 PLNT RD,590 PLANT RD
72.planttype,fMunicipal,Municipal
1400.street,3669B ST TRE 112,3669B ST RTE 112
1773.facilityname,AGRI-MARK INC - CHAETAUGAY PLANT,AGRI-MARK INC - CHATEAUGAY PLANT
647.statevalue,Y,NY
2014.spdespermitnumber,NY099091,NY0099091
2027.planttype,Inadustrial,Industrial
786.groundorsurface,Surace,Surface
189.statevalue,NmY,NY
642.street,8420ALLEGHANY RD (ST RTE 77),8420 ALLEGHANY RD (ST RTE 77)
686.groundorsurface,Sujrface,Surface
40.locationone,"(42.33, -73.6g1)","(42.33, -73.61)"
176.country,vUSA,USA
1770.groundorsurface,Sufrace,Surface
992.statevalue,kNY,NY
1382.street,3705 HAMPTON RD|PARCEL 43  BLOKC 400  LOT 202,3705 HAMPTON RD|PARCEL 43  BLOCK 400  LOT 202
919.statevalue,Y,NY
735.groundorsurface,Surfaec,Surface
881.spdespermitnumber,YN0022551,NY0022551
1016.planttype,ndustrial,Industrial
1297.city,CORING,CORNING
154.spdespermitnumber,NY010183,NY0101583
2064.facilityname,NYS DOT RES EGNR HDQTRS - ELLICOTT,NYS DOT RES ENGR HDQTRS - ELLICOTT
1213.spdespermitnumber,NY028423,NY0258423
848.country,SA,USA
173.city,HOLTVILLE,HOLTSVILLE
1809.spdespermitnumber,YN0239577,NY0239577
335.statevalue,YN,NY
1188.country,qUSA,USA
666.country,SA,USA
267.facilityname,DUCOMMUN AEROSTRUCTRES,DUCOMMUN AEROSTRUCTURES
77.groundorsurface,Surfcae,Surface
660.statevalue,YN,NY
1793.facilityname,SUMMIrT LUBRICANTS INC,SUMMIT LUBRICANTS INC
407.city,EPTERSBURG,PETERSBURG
887.city,PAL SMITHS,PAUL SMITHS
1693.facilityname,OLDCASTLE PRECoAST BUILDING SYSTEMS,OLDCASTLE PRECAST BUILDING SYSTEMS
818.facilityname,"Richar Laundromat, Inc.","Richard Laundromat, Inc."
1233.country,UxSA,USA
1679.facilityname,ROKNONKOMA LAUNDROMAT INC,RONKONKOMA LAUNDROMAT INC
330.facilityname,ALTAIR PHARMACEUTICALS,ALTAIRE PHARMACEUTICALS
2027.spdespermitnumber,YN0028771,NY0028771
1202.city,OTNAWANDA,TONAWANDA
902.facilityname,ASHLADN WASTEWATER TREATMENT PLANT,ASHLAND WASTEWATER TREATMENT PLANT
446.city,HUDSN FALLS,HUDSON FALLS
1215.spdespermitnumber,NY0017221,NY0107221
1875.facilityname,CENTRAL BIRDGE SEWER DIST WWTP,CENTRAL BRIDGE SEWER DIST WWTP
1675.country,SUA,USA
740.spdespermitnumber,eNY0271853,NY0271853
1126.spdespermitnumber,NY005780,NY0025780
720.street,ETIRE WATER DISTRICT WIDE,ENTIRE WATER DISTRICT WIDE
1004.locationone,"(41.3,9 -73.62)","(41.39, -73.62)"
692.groundorsurface,Suface,Surface
390.street,40 ANSO RD,40 ANSON RD
1671.country,UAS,USA
900.street,OCEAN PxKWY - W OF COUNTY LINE|67-002-2,OCEAN PKWY - W OF COUNTY LINE|67-002-2
1868.spdespermitnumber,NY0006734***,NY0006734
1613.spdespermitnumber,NY00r26433,NY0026433
253.country,SUA,USA
2028.city,CLITNON,CLINTON
311.spdespermitnumber,NY0215551,NY0251551
1285.street,14 GRIST MLIL LN,14 GRIST MILL LN
996.locationone,"(40.96, 72.26)","(40.96, -72.26)"
75.locationone,"(40.95,-73.73)","(40.95, -73.73)"
1786.planttype,Muincipal,Municipal
2049.facilityname,MAHOPAC WkWTP,MAHOPAC WWTP
879.spdespermitnumber,NY026395,NY0026395
993.locationone,"(40.86, -u73.08)","(40.86, -73.08)"
189.country,SUA,USA
1879.locationone,"(42.05, -5.49)","(42.05, -75.49)"
365.statevalue,vNY,NY
996.groundorsurface,rGound,Ground
195.locationone,"42.05, -75.41)","(42.05, -75.41)"
744.city,JAMEVSILLE,JAMESVILLE
1274.statevalue,YN,NY
983.groundorsurface,Surfcae,Surface
1515.city,SOUTHSALEM,SOUTH SALEM
40.spdespermitnumber,NY061475,NY0261475
1029.facilityname,COLLINS WATER DISTRCIT #3,COLLINS WATER DISTRICT #3
266.facilityname,CLAYTO STP,CLAYTON STP
817.statevalue,NaY,NY
756.groundorsurface,Surfcae,Surface
1417.city,YONKEjRS,YONKERS
1551.country,yUSA,USA
1640.street,"PARKER RD WTP IN FAYETTE, SERVICE AREA IN SENECA FALLS & PORTIONS OF WTERLOO AND FAYETTE","PARKER RD WTP IN FAYETTE, SERVICE AREA IN SENECA FALLS & PORTIONS OF WATERLOO AND FAYETTE"
1443.country,UA,USA
1158.facilityname,ARKPORT BLUK PLANT,ARKPORT BULK PLANT
1287.street,24 WHITE T,24 WHITE ST
126.spdespermitnumber,N0Y245089,NY0245089
1148.city,MAHPAC,MAHOPAC
197.planttype,Industrbial,Industrial
1223.statevalue,YN,NY
1766.groundorsurface,Surace,Surface
1283.city,ALANY,ALBANY
990.planttype,Industiral,Industrial
1636.facilityname,Yaphank Fule Cell Park,Yaphank Fuel Cell Park
1767.city,PMEBROKE,PEMBROKE
235.street,9THST & 2ND AVE|50' N 9TH ST BRIDGE & UNDER 9TH ST BRIDGE,9TH ST & 2ND AVE|50' N 9TH ST BRIDGE & UNDER 9TH ST BRIDGE
851.city,PHILADELPHAI,PHILADELPHIA
164.country,USzA,USA
602.groundorsurface,Surafce,Surface
1030.locationone,"(42.9, -m77.42)","(42.9, -77.42)"
1513.facilityname,1900 SOUT HAVE LOGISTICS,1900 SOUTH AVE LOGISTICS
942.locationone,"(420.6, -76.33)","(42.06, -76.33)"
795.country,UAS,USA
1681.facilityname,eSUBURBAN HEATING OIL PARTNERS LLC - CAMPBELL BULK PLANT,SUBURBAN HEATING OIL PARTNERS LLC - CAMPBELL BULK PLANT
2066.facilityname,REGIMENT VILLAGE LAUNDROMtAT,REGIMENT VILLAGE LAUNDROMAT
1407.spdespermitnumber,NY024915,NY0234915
1852.locationone,"k(43.52, -76.41)","(43.52, -76.41)"
1330.statevalue,Y,NY
868.facilityname,AwUTOWAVE INC,AUTOWAVE INC
413.city,CADEN,CAMDEN
1078.country,SA,USA
644.planttype,Industrila,Industrial
1989.statevalue,Y,NY
328.country,UA,USA
97.facilityname,SKANEATELES V) WWTP,SKANEATELES (V) WWTP
629.groundorsurface,Swurface,Surface
641.locationone,"(41.11, -73.79i)","(41.11, -73.79)"
1745.country,SA,USA
1091.locationone,"(42.72, -77.2)","(42.72, -77.27)"
853.locationone,"(4p1.44, -74.41)","(41.44, -74.41)"
1862.city,MODEL CTIY,MODEL CITY
872.street,2 RIVER AVE |SCTM  600-131-3-1.1 AND 35.1,2 RIVER AVE |SCTM  600-131-3-31.1 AND 35.1
550.city,AwNDES,ANDES
1993.statevalue,NgY,NY
1564.groundorsurface,Surfmace,Surface
379.locationone,"(42.26, -73.18)","(42.26, -73.81)"
753.country,bUSA,USA
293.city,EAST PATCHOwGUE,EAST PATCHOGUE
1094.facilityname,QUICK CLEAN LAUNDkROMAT,QUICK CLEAN LAUNDROMAT
1246.facilityname,HERKIMER CO SeD WWTF,HERKIMER CO SD WWTF
1589.locationone,"(43.08,-79.04)","(43.08, -79.04)"
1734.statevalue,Y,NY
804.city,Oakdlae,Oakdale
767.street,31-01 02TH AVE,31-01 20TH AVE
2048.locationone,"(42.33, p-78.46)","(42.33, -78.46)"
1781.locationone,"(34.81, -76.03)","(43.81, -76.03)"
1890.street,201G LENDALE DR & ST RTE 17C,201 GLENDALE DR & ST RTE 17C
1966.statevalue,YN,NY
780.statevalue,NfY,NY
159.planttype,Industrdial,Industrial
970.facilityname,PINE PLANIS OUTPOST,PINE PLAINS OUTPOST
947.groundorsurface,Surfacfe,Surface
1306.locationone,"(41.13, d-74.17)","(41.13, -74.17)"
1711.locationone,"(43., -73.52)","(43.1, -73.52)"
1950.planttype,Municitpal,Municipal
1518.locationone,"(41.78, -73.5)6","(41.78, -73.56)"
1079.facilityname,180 ORgVILLE DRIVE,180 ORVILLE DRIVE
649.facilityname,BUCjKEYE ALBANY TERMINAL LLC,BUCKEYE ALBANY TERMINAL LLC
734.city,CASTLETON ON HUDSNO,CASTLETON ON HUDSON
1700.planttype,Muunicipal,Municipal
1658.statevalue,Y,NY
1634.planttype,Munuicipal,Municipal
1179.locationone,"(42.29, -75.81)","(42.92, -75.81)"
1994.street,28s TAYLOR AVE,28 TAYLOR AVE
1377.street,STATE SiT,STATE ST
1432.facilityname,GREENWOOD LKE - V - WATER FILTRATION PLANT,GREENWOOD LAKE - V - WATER FILTRATION PLANT
1200.locationone,"(43.18,- 76.89)","(43.18, -76.89)"
1090.spdespermitnumber,NY0622242,NY0262242
1103.statevalue,Y,NY
29.locationone,"(4d3.75, -73.46)","(43.75, -73.46)"
1618.street,5317 SACADNAGA RD,5317 SACANDAGA RD
821.street,LAKE LUOISE MARIE RD,LAKE LOUISE MARIE RD
2087.city,GTAES,GATES
305.locationone,"(24.83, -73.82)","(42.83, -73.82)"
1040.facilityname,Suffolkr County Water Authority,Suffolk County Water Authority
572.groundorsurface,urface,Surface
1520.country,SUA,USA
407.locationone,"(42.81, 7-3.33)","(42.81, -73.33)"
263.street,300 STEAMBOAT RD|1-B-135-100-104-105-190,300 STEAMBOAT RD|1-B-135-100-104-105-109
812.planttype,Industril,Industrial
1184.locationone,"(42.98, -78v.16)","(42.98, -78.16)"
618.spdespermitnumber,NY0006874***,NY0006874
1548.country,SA,USA
983.planttype,Industriabl,Industrial
506.locationone,"(42.14, -77.23)","(42.41, -77.23)"
1706.statevalue,YN,NY
488.facilityname,IMNISINK BUS GARAGE,MINISINK BUS GARAGE
196.locationone,"(44.33, z-75.49)","(44.33, -75.49)"
473.groundorsurface,Groudn,Ground
1917.street,1832 Buffalo Rd|(Corner of Rt 19 and Buffalo Road),8132 Buffalo Rd|(Corner of Rt 19 and Buffalo Road)
651.statevalue,YN,NY
1696.city,tockton,Stockton
1826.statevalue,rNY,NY
321.planttype,Industriajl,Industrial
1055.spdespermitnumber,NY01046f71,NY0104671
1845.city,PLAESANTVILLE,PLEASANTVILLE
842.facilityname,MILLBROOK VINEYARDS i& WINERY,MILLBROOK VINEYARDS & WINERY
768.street,38-54 VERNON BLVhD,38-54 VERNON BLVD
2079.city,FLOIDA,FLORIDA
1953.planttype,Inudstrial,Industrial
1980.statevalue,Y,NY
2001.facilityname,WETZEL RD ASTEWATER TREATMENT PLANT,WETZEL RD WASTEWATER TREATMENT PLANT
1634.locationone,"(42.06, -47.14)","(42.06, -74.14)"
1005.city,REAT NECK,GREAT NECK
1707.planttype,Industiral,Industrial
107.city,HAMPTONB AYS,HAMPTON BAYS
471.planttype,Muznicipal,Municipal
1845.spdespermitnumber,NY025569,NY0251569
257.facilityname,D & M LANDRY,D & M LAUNDRY
1710.planttype,Inudstrial,Industrial
1352.planttype,Indusrial,Industrial
1604.spdespermitnumber,N0Y021407,NY0021407
1942.facilityname,ST REGIS FAtLLS WWTP,ST REGIS FALLS WWTP
2001.street,4020 WETZELR D,4020 WETZEL RD
1481.locationone,"(40.k81, -73.27)","(40.81, -73.27)"
1628.street,1975 LYeELL AVE,1975 LYELL AVE
470.planttype,tMunicipal,Municipal
1544.locationone,"(14.67, -74.76)","(41.67, -74.76)"
1123.country,UAS,USA
928.groundorsurface,Gound,Ground
1561.spdespermitnumber,NY0628691,NY0268691
1182.locationone,"(43.23, -5.41)","(43.23, -75.41)"
960.planttype,Muicipal,Municipal
1771.city,LIVERPOOL***,LIVERPOOL
1083.facilityname,W&M LAUNDROMATI NC,W&M LAUNDROMAT INC
641.spdespermitnumber,NY248355,NY0248355
1974.city,HERRILL,SHERRILL
774.statevalue,NgY,NY
1491.country,SUA,USA
1104.facilityname,COOPERTOWN CHEESE CO,COOPERSTOWN CHEESE CO
1845.groundorsurface,lSurface,Surface
1216.country,SA,USA
321.groundorsurface,Groound,Ground
1266.facilityname,LAUNDRY PLACE,LAUNDRY PALACE
854.facilityname,PILOT RAVEL CENTERS LLC #380,PILOT TRAVEL CENTERS LLC #380
1342.spdespermitnumber,NY02p65195,NY0265195
360.facilityname,ISON YARD FACILITY,BISON YARD FACILITY
1127.facilityname,TOWN CAZENOVIA CONSOLIDATED SEWER DISTRCITS WPCF,TOWN CAZENOVIA CONSOLIDATED SEWER DISTRICTS WPCF
1776.street,CALAHANu DR,CALAHAN DR
779.spdespermitnumber,NY0003927,NY0003972
2026.locationone,"(4298, -77.91)","(42.98, -77.91)"
