1125.address,z2655 Iberville St,2655 Iberville St
487.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9823265728948, -90.0743478000803)"
1585.namevalue,25448 Chef Menteur Hwy,25484 Chef Menteur Hwy
316.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9696830184388, -90.0808761238712)"
880.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9466361080364, -90.0718232158063)"
1606.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9169580303041, -90.1061204741881)"
695.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9795760525066, -90.0936352475088)"
2039.expirationdate,07/21/20o23 11:59:59 PM,07/21/2023 11:59:59 PM
1666.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9455617682364, -90.0659728705608)"
1022.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9714763263846, -90.0525555277276)"
697.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9543905077314, -90.1092150232359)"
689.namevalue,4616 Cleveland ve,4616 Cleveland Ave
2521.y,24.0,-1.0
691.x,60.0,-1.0
315.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9563445072456, -90.0989381306464)"
2767.y,82.0,-1.0
1602.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9545013954032, -90.0528301986308)"
1341.locationvalue,"(29.9580154964913, -90.0871467011987)","(30.0232472164951, -89.9530936723144)"
1532.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9640719483893, -90.0917186630511)"
74.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9222617299819, -90.0897460818907)"
1747.locationvalue,"(29.94521586214, -90.0748345709834)","(29.9786656848848, -90.0400744598463)"
675.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9220873380935, -90.1171390392173)"
1369.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9363396027548, -90.0754532531826)"
1638.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9576904055684, -90.0666444841706)"
783.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.0150158379379, -90.0443901164915)"
2057.expirationdate,0301/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1288.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9689687245288, -90.0771384162772)"
1365.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9637255576097, -90.036386482271)"
80.namevalue,1018 Tbhird St,1018 Third St
418.namevalue,ACMPECHE,CAMPECHE
519.address,129 N Dorgenois St,1029 N Dorgenois St
1221.address,81j9 Olga St,819 Olga St
66.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9714859874128, -90.0497140180421)"
785.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9628083502012, -90.0343707363659)"
1723.expirationdate,03/01/202 12:00:00 AM,03/01/2023 12:00:00 AM
1883.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9662903846042, -90.0595793871045)"
1854.locationvalue,"(29.9337663755801, -90.0882303310459)","(30.0124881427712, -89.9970022002821)"
905.locationvalue,"(29.9683446718947, -90.0556404613279)","(29.9800185903855, -90.0860220173511)"
1545.locationvalue,"(29.9327284399725, -90.0726833232675)","(30.0088038257333, -90.0182935750577)"
1483.address,2229 Secnd St,2229 Second St
2181.namevalue,735 Mandeville tS,735 Mandeville St
1469.namevalue,MNTE CARLO MOTEL,MONTE CARLO MOTEL
837.locationvalue,"(29.9325310912306, -90.0728517634704)","(29.962910240002, -90.0528903279827)"
311.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9375649021049, -90.1173620564256)"
1813.type,Short Term Rental Commecrial Owner,Short Term Rental Commercial Owner
2179.namevalue,2217 Soinat St,2217 Soniat St
2739.address,451 Gairod St Apt 205,451 Girod St Apt 205
765.namevalue,1t228 Music St,1228 Music St
867.locationvalue,"(29.9631985868449, -90.0308718428603)","(29.9719090680178, -90.0629174236596)"
725.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9767209289924, -90.0503963756374)"
1166.namevalue,604 1Baccich St,6041 Baccich St
768.namevalue,028 Walnut St Apt A,208 Walnut St Apt A
592.locationvalue,"(29.9477103063624, -90.0733695134786)","(29.950981680429, -90.0729594290995)"
726.namevalue,12e27 Franklin Ave Apt A,1227 Franklin Ave Apt A
848.namevalue,1423 Henriette Dellle St Unit D,1423 Henriette Delille St Unit D
120.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9703181280963, -90.0686491535333)"
1942.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
1717.locationvalue,"(29.9298825295208, -90.0755864593125)","(29.9613349173344, -90.032958141014)"
2191.address,2505 Consatnce St,2505 Constance St
292.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9179817775153, -90.0919398920671)"
1080.type,Sghort Term Rental Residential Owner,Short Term Rental Residential Owner
480.namevalue,906 Sixth St Apt2A,906 Sixth St Apt 2A
790.type,Short Term Rental Residential rOwner,Short Term Rental Residential Owner
1482.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9208142847892, -90.0999268641134)"
170.type,Short Term Rebntal Commercial Owner,Short Term Rental Commercial Owner
1527.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9524892717808, -90.068564699918)"
632.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9706886885711, -90.0670246805733)"
2357.type,Short Term Rental Commercial Owner***,Short Term Rental Commercial Owner
496.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9637136701648, -90.0363438735172)"
40.locationvalue,"(29.9683036541566, -90.0412851454416)","(29.9400437303138, -90.0763258633901)"
1319.address,600 Canal St At 204,600 Canal St Apt 204
1878.address,900 BartholomewS t Unit 307,900 Bartholomew St Unit 307
1815.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9519318792991, -90.0714666520439)"
2054.expirationdate,07/19/2023 11:95:59 PM,07/19/2023 11:59:59 PM
2665.namevalue,625 Websetr St,625 Webster St
1013.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9302930494178, -90.1020860133755)"
1512.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9223423886851, -90.0873719528188)"
656.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9659294612504, -90.0547202526613)"
462.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9239179735801, -90.1011223349278)"
603.type,Short Term Rental Commercial uOwner,Short Term Rental Commercial Owner
2495.namevalue,5761 Woodlawn Pl,5671 Woodlawn Pl
383.type,Short Termc Rental Commercial Owner,Short Term Rental Commercial Owner
1085.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.918913461653, -90.0963136851403)"
2073.locationvalue,"(29.9550217116796, -90.0724182x115473)","(29.9550217116796, -90.0724182115473)"
1417.type,4703 - uBED & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
1042.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9663510122612, -90.0626790570171)"
453.address,301 Magazine St Avpt 202,301 Magazine St Apt 202
1659.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9640223319493, -90.0660389894792)"
1847.namevalue,MAISONLAFAYETTE,MAISON LAFAYETTE
533.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9598847445727, -90.0337417927167)"
1394.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9686325584817, -90.1050061867321)"
1149.locationvalue,"(29.9275317813065, -90.0317385601277)","(29.9677241246168, -90.0570469271323)"
1561.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9671207886867, -90.0656917759325)"
1328.locationvalue,"(29.9683446718947, -90.0556404613279)","(29.9677283749038, -90.0666814453215)"
1718.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9507196270331, -90.0768565173229)"
1450.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9623483073163, -90.0963289604373)"
757.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9678680157171, -90.0602572866955)"
1373.locationvalue,"(28.0988907068706, -101.517799134252)","(30.0070749683204, -90.1183574831144)"
1024.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9628255665622, -90.0900724299835)"
1565.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9583481738685, -90.0772138210042)"
1897.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9429487216735, -90.0801601693427)"
2243.address,6125 Lurel St,6125 Laurel St
1895.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.0334319781166, -89.9472608150118)"
2119.address,715 St Charles Ave,7315 St Charles Ave
2452.x,71.0,-1.0
1825.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9617757566122, -90.0237086557189)"
1454.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9825812417081, -90.0857607341129)"
197.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9852656706657, -90.0762177702086)"
2320.type,Short Term Rental Commercial Ower,Short Term Rental Commercial Owner
1759.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9438904325414, -90.0942628480433)"
1404.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9803111969, -90.0908124179932)"
923.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9769337549701, -90.0765868714305)"
995.namevalue,261 9St Peter St,2619 St Peter St
2560.expirationdate,03/01/2023 12:00:00p AM,03/01/2023 12:00:00 AM
2624.address,1042 Philip St,1024 Philip St
1077.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.96913049776, -90.0900210849966)"
2501.namevalue,1085 ohn Churchill Chase St Apt 202,1085 John Churchill Chase St Apt 202
179.namevalue,88 Girod St Apt 306,828 Girod St Apt 306
1141.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9672451769152, -90.0319715169545)"
2443.y,45.0,-1.0
242.namevalue,5630 St RochA ve,5630 St Roch Ave
870.expirationdate,04/21/2023 11:9:59 PM,04/21/2023 11:59:59 PM
1026.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9436948027933, -90.1052211503203)"
823.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9710861824779, -90.0301703568677)"
184.namevalue,83 Poland Ave,823 Poland Ave
1652.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9564259319667, -90.0743261770644)"
461.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9726473411829, -90.0883249814608)"
85.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9583625598951, -90.0885457662594)"
1245.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9448690014085, -90.0992938877704)"
1922.expirationdate,03/01/2023 12c:00:00 AM,03/01/2023 12:00:00 AM
1502.namevalue,1732 llen St,1732 Allen St
7.locationvalue,"(29.9605816137577, -90.0892762017721)","(28.0988907068706, -101.517799134252)"
1286.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9524424636161, -90.0684842608436)"
1607.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9553666459548, -90.1118668889354)"
587.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9666817171885, -90.0388182902325)"
605.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9341332313994, -90.1335164788666)"
2439.locationvalue,"(92.9663844482864, -90.0645626612869)","(29.9663844482864, -90.0645626612869)"
1783.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.970812174156, -90.0737198741199)"
2430.y,523266.13,523232.13
207.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9707319649295, -90.0710113012721)"
624.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9941804243498, -90.0498638969597)"
1888.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.970990356551, -90.071328909555)"
2656.locationvalue,"(30.014806909128, -90.061451938889)","(30.014806909128, -90.0614516938889)"
1298.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9603840459086, -90.1235301119201)"
1575.address,1128N  White St,1128 N White St
1113.locationvalue,"(29.9718566811683, -90.049141215455)","(29.9725560642505, -90.074816365045)"
478.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.937818935391, -90.0812468125182)"
607.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9341690526557, -90.0719570594255)"
1812.locationvalue,"(29.9365521404031, -90.0810408656061)","(29.9270406901008, -90.0743403539991)"
737.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.956179476789, -90.106606868129)"
2137.type,Shor Term Rental Residential Owner,Short Term Rental Residential Owner
2017.address,1900 Charbonnet St***,1900 Charbonnet St
1427.namevalue,INN ON URSULuINES,INN ON URSULINES
2513.address,008 Toulouse St,3008 Toulouse St
1292.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9854621644674, -90.0695303448185)"
1739.type,Short TermR ental Commercial Owner,Short Term Rental Commercial Owner
2182.type,Short Term Rental Comercial Owner,Short Term Rental Commercial Owner
530.namevalue,849 Alva St,849 Alvar St
1057.type,Short Term Rental esidential Owner,Short Term Rental Residential Owner
1731.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9368215072454, -90.1098646365217)"
1620.address,835 BOrURBON ST,835 BOURBON ST
1470.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9944604791351, -90.0488485394661)"
1869.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9511466974797, -90.0726504557239)"
117.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9509843209015, -90.0713097830678)"
1820.expirationdate,07/14/2023 11:59e:59 PM,07/14/2023 11:59:59 PM
2044.locationvalue,"(29.9661099557465, -90.069866078502)","(29.9661099557465, -90.0698660678502)"
1318.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9777090838593, -90.0839617479359)"
406.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9457504189464, -90.0746432295273)"
913.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9656134636366, -90.0800920200094)"
302.locationvalue,"(29.9605816137577, -90.0892762017721)","(30.0312773099646, -90.0067186079135)"
2668.x,3670136.84,3670098.84
212.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9377043602935, -90.0811792911747)"
867.expirationdate,0/622/2023 11:59:59 PM,06/22/2023 11:59:59 PM
1552.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9328177259658, -90.0660667095787)"
522.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9637298395558, -90.0362405766324)"
442.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9796768365291, -90.0826329676079)"
151.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9669955208242, -90.0379380795209)"
1280.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9253332159157, -90.1157333360302)"
173.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.947657236472, -90.0733470686662)"
974.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9502181701639, -90.0689407238599)"
2536.namevalue,711 S Peters S Apt 210,711 S Peters St Apt 210
2487.expirationdate,09/09/202 11:08:13 AM,09/09/2023 11:08:13 AM
1139.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.969502805501, -90.0564140779064)"
756.type,Short Term xRental Residential Owner,Short Term Rental Residential Owner
492.expirationdate,12/1/2022 11:59:59 PM,12/21/2022 11:59:59 PM
129.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9167322670229, -90.1072835892031)"
1560.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9482899573016, -90.0657236530428)"
1325.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9198382105475, -90.0909512382403)"
2740.locationvalue,"(29.9395492891235, -90.077948297973)","(29.9395492891235, -90.0779482970973)"
577.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9633486762451, -90.036180660918)"
1587.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9393704869554, -90.1104604978528)"
483.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9729688973752, -90.0604878995304)"
1569.locationvalue,"(29.935070719781, -90.1066658406292)","(29.952496305815, -90.068558358063)"
1804.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9204821695397, -90.1078121794603)"
47.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.938697391877, -90.0808102249235)"
1610.namevalue,4326k Toulouse St,4326 Toulouse St
482.locationvalue,"(29.935070719781, -90.1066658406292)","(29.96749552628, -90.0460542928785)"
1653.address,360 MARAIS ST,2360 MARAIS ST
908.namevalue,1531 N illere St,1531 N Villere St
2155.locationvalue,"(29.94747869208w34, -90.0475715199052)","(29.9474786920834, -90.0475715199052)"
603.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9535376984007, -90.0676685080303)"
1364.address,174v8 PRYTANIA ST,1748 PRYTANIA ST
328.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9662670760119, -90.0541116353353)"
161.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9476729941164, -90.0733384700212)"
296.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9279477789817, -90.0750445111828)"
1089.type,zShort Term Rental Residential Owner,Short Term Rental Residential Owner
389.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.96653649806, -90.0510067810051)"
1584.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9453371696962, -90.0733151350001)"
1879.locationvalue,"(29.9477103063624, -90.0733695134786)","(29.9551161519605, -90.0713671394454)"
1708.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9695958718009, -90.0736125560285)"
1385.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9805580716367, -90.1005509081875)"
559.address,3134 Anunciation St,3134 Annunciation St
1566.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9673855272599, -90.0608627185416)"
