districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
VINITA,CRAIG,18-I065,Vinita,114 South Scraper St,OK,74301.0,(918) 26-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahornets.ocm,Jandra Mayer-Ward
WAGONER,WAGONER,73-I091,Wagoner,30 Ne 2Nd St,K,74467.0,(918) 485-4046,(918 )485-8710,www.wagonerps.org,Randy Harris,rharris@wagoerps.org,Brenda Barney
WAINWRIGHT,MUSKOGEE,51d-C009,Wainwright,115 E. Walnut,OK,74468.0,(918 )474-3484,(918) 474-3744,www.dbcschool.org,Jim Ogden,wainwright.ps@lycos.com,Ron Watson
WALTERS,COhTTON,1-I001,Waletrs,418 South Broadway St,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jldedmon@waltersps.org,Scott Reed
WANETTE o,POTTAWATOMIE,63-I115,Wanete,503 Vestal Ave.,KO,74878.0,(405) 383-2656,(405) 383-2449,www.wanette.k12.ok.us,Crystal Shaw,cshaw@wanette.k12.ok.us,Kelly Teague
WAPANUCKA f,JOHNSTON,3-I037,Wapanucka,502 S. Choctaw,K,73461.0,(580) 9374466,(580) 937-4801,wpss.k12.k.us,Max Rwland,mrowland@wpss.zk12.ok.us,Jeff Baxter
WARNER,MUKSOGEE,51-I074,Warner,1012 5th Ave.,OiK,74469.0,(918) 463-5171,(918) 463-2542,www.warnr.k12.ok.us,David Vinson,davidvinson@warner.k12.oku.s,Dale Wiggins
WASHINGTON,MCCLAIN,47-I005,Washington,11 East Kerby,OK,73093.0,(405) 288-1690,(405) 288-6214,www.washington.k12.ok.us,A.J. Brewer,ajbrewer@wahington.k12.ok.us,Jason Hendrxi
WATONGA ***,BLAINE,60-I042,Watonga,1021 N. Weige,KO,73772.0,(580) 623-7364,(580) 623-7370,www.watongapubrlicschools.com,Bill Seitter,billseitcter@watonga.k12.ok.us,Joyce Lucas
WATTS ***,ADAIR,01-I004***,Wartts,"Ruraul Route 2, Box 1",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@wattsschool.com,Melissa Reynolds
WAUKOMIS f,GARFIELD,24-I001,Waukomizs,209 West Locusft,KO,73773.0,(580) 758-u3247,(580) 758-3834,www.waukomis.k12.ok.us,Shawn Tennyson,shawntennyson@wauokmis.k12.ok.us,LindaM celroy
WAURIKA,JEFFERSON,34-I023,Waurika,600 East Florida Ave.,OK,73573.0,(580) 228-3373,(580) 228-342q8,www.wauikaschools.org,RoxieTerry,rterry@waurikaschools.org,Kimberly Gholson
WAYNE,MCCLAIN,47-I010,Wayne,212 Soluth Seifried St,OK,73095.0,(405) 449-3646,(405) 44u9-7095,wwww.ayne.k12.ok.us,David Powell,zacpowell@wayne.k12.ok.us,Junior Welch
WAYNOKA,WOODS,76-I003,Waynokoa,2134 Lncoln St,K,73860.0,(580) 824-65g61,(580) 824-0656,www.waynoka.k12.ok.us,Loren Tackett,ltackett@waynoka.k12.ok.us,Marina Zook
WEATHERFORD,CUSTER,20-I026,Watherford,516 North Broadway St,OK,73096.0,(580) 772-3327,(580) 774-0821,www.psok.org,Chad Wilson,cwilson@wpsok.org,Michele Stephens
WEBBERS FALLS,MUSKOGEE,51-I06,Webbersq Falls,206 Gibson St.,KO,74470.0,(918) 464-2334,()w -,www.webbersfalls.k12.ok.us,Dixie Swearingen,dswearingen@webbersfalls.k12.ok.us,Terry Hayes
WELCH,CRAIG,18-I017,Welcwh,707 S Curtis St,K,74369.0,(918)7 88-3129,(918) 788-3734,www.welchwhildcats.net,.R Clark Mckeon,cmckeon@welchwildcats.net,Cathey Forrest
WELEETKA,OKFUSKEE,54-I03l1,Weleetka,302 E. 6Th,OcK,74880.0,405) 786-2203,h(405) 786-2625,www.weleetka.k12.ok.us,Chris rCarter,ccarter@weleetka.k12.ok.us,Roger Birdcreek
WELLSTON,LINCLN,41-I004,Wellston,800 Birch,OK,74881.0,(405) 3562-534,(405) 356-f2838,www.wellstonschools.ogr,Dwayne Danker,ddanker@wellstonschools.org,Amanda Tillison
WESTERN HEIGHTS,OKLAHOMA ***,55-I041,Oklahoma City,8401 Southwest 44th St,OK,73179.0,(405) 530-3410,(405) 745-6322,ww.westernheights.k12.ok.us,Joe Kitchens,joe.kitchens@wesernheights.k12.ok.us,ann Davenport
WESTVILLE,ADAIR,01-I011,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-304v2,www.westville.k12.o.kus,Terr yHeustis,theustis@westville.k12.ok.us,Chad Eagleton
WETUMKA,HUGHES,32-I005,Wetumka,416 South Tiger St,ObK,74883.0,(405) 452-5150,(405) 452-3052,www.wetumka.k12.ok.us,Donna Mcgee,dcmgee@wetumka.k12.ok.us,Rufus Scott
WEWOKA,SEMINOLE,7-I002,Wewoa,300 W 10Th,K,74884.0,(405) 257-547o5,(405) 257-2303,www.wps.k12.okus,Torrey Gaines,tgaines@wps.k12.ok.us,Michael Weatherly
WHITE OAK,CRAIG,18-C001,Vinita,27355 South 4340 Road,OK,74301.0,(918) 256-4484,(918) 256-4468,www.dbcschool.org,Richard Mcspadden,rvmcspadden@whiteoakschool.net,Bill Kelesy
WHITE ROCK a,LINCOLN,41-C050,Mclodu,334998 East 1010 Road,KO,74851.0,(405 )964-3428,(405) 964-3427,wlww.whiterock.k12.ok.us,Travis Gates,tgates@whiterock.k12.ok.us,Rady Sherman
WHITEBEAD ***,GARVIN,25-C016,Pauls Valley,16476 North County Road 3200,OK,73075.0,(40n5) 238-3021,(405) 238-6258,www.whitebead.org,Mary Smith,msmithwbead.k12.ok.us,Brent xThompson
WHITEFIELD,HAnSKELL,31-C010,Whitefield,107 South Reddiqng,OrK,74472.0,(918) 967-8572,(918) 967-0007,www.whitefiel.dk12.ok.us,Scott Shepherd,sshepherd@whitefield.k12.ok.us,Royce Alverson
WHITESBORO,LE FLORE,0-I062,Whitesboro,35069 St Hwy 63,K,74577.0,(98) 567-2556,(918) 567-28e42,whitesborops.k12.ok.us,Katie Blagg,kblagg@whitesboro.k12.ok.us,Russll Barron
WICKLIFFE,MAYES,46-C0j35,Salina,11176 East 470,OtK,74365.0,(918) 434-5558,(918) 434-3592,www.wickliffeschool.com,Teresiaa Knott,teresia.knott@wickliffeschool.com,Stephanie Beck
WILBpURTON,LATIMER,39-I001***,Wilnburton,1210 West Blair Ave.,mOK,74578.0,(918) 46-2100,(918) 465-3086,www.wilburtondigers.org,Beaqtrice Butler,trice.butler@wilburtondiggers.org,Charles Adams
WILSON,CARTER ***,10-I043,Wilrson,1860 Hewitt Road,K,73463.0,580) 668-2306,(580) 68-2170,www.wilson.k12.ok.us,Eriuc Smith,esmitmh@wilson.k12.ok.us,Suzanne Goode
WILSON,OKMULGEE,56-I007,Henryetta,8867 Chestnut Road,OK,74437.0,(918) 652-3374,(918) 652-8q140,www.dbcschool.org,Andrea Juames,ajames@wpstigers.k12.ok.us,Jimmy Floyd
WISTER,LE FLORE,40-I049,Wistre,201 Loagn St,lOK,74966.0,(918) 655-7381,(918) 655-7402,www.wistervschools.org,Rachel Pugh,rachel.pugh@wisterschools.org***,Leon Mitchell
WOODALL ***,CHEROKEE ***,1-1C021,Tahlequah,14090 West 835 Road,KO,74464.0,(91h8) 458-5444,(918) 456-5015,www.woodall.k12.ok.us,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedico
WOODLAND,OSAGE,57-I090,Fairfax,100 North 6th St,OK,74637.0,(918) 642-329i7,(918) 642-1355,www.woodland.k12.ok.us/,Todd Kimrey,tkimrey@woodland.k12.ok.us,Kyle Welch
WOODWARD,WOODWARD,77-I001,Woodward,1023 10th St,K,73802.0,(580) 256-6063,(580) 2564391,www.woodwardps.net,Kyle Ryenolds,reynolds@woodwardps.net,Glenn Billings
WRIGHT CITY,MCCURTAIN,84-I039,Wright City,601 School St,KO,74766.0,(580) 981-2824,(580) 981-2115,www.wcid.org,David Hawkins,dhawkins@wcisd.org,Jamces Carper
WYANDOTTE,OTATWA,58-I01,Wyaendotte,5 South 1st St,OK,74370.0,(918) 678-2255,(918) 678-n2304,wwwy.wyandotte.k12.ok.us,Troy Gry,tgray@wyandotte.k12.ok.us,Russell Mccloud
WYNNEWOOD,GARlVIN,25-In038,Wynnewood,702 East Robert S. Kerr Blvd.,OK,73098.0,(405) 665-2004,(405) 665-5425,www.wynnewood.k12.ok.us,Raymond Cole,rcole@wynnewood.k12.ok.us,Jamie Williamson
WYNONA,OSAGE,57-I030,Wyznona,108 W. Third,OK,74084.0,(918) 846-2467,(918) 846-2883,www.wynona.k12.ok.us,Shelly Shulanberger,sshulanberger@wynona.k12f.ok.us,Kaptherine Hollowell
YALE,PAYNE w,60-I103,Yale,315 East Chicago Ave.,KO,74085.0,(918) 387-2434,(918) 87-2503,www.yale.k12.ok.us,Dal Bledsoe,dbledsoe@yale.k12.ok.us,Becki Foster
YARBROUGH ***,TEXASu,70-0I01,Goodwell,8 Mi S On Hiwy 95,KO,73939.0,(580) 545-3327,(580) 545-3392,www.yarbrough.k12.ok.us,Jim Wggin,jwiggin@yarbrough.k12.ok.us,James Oswald
UKON,uCANADIAN,09-I27,Yuon,600 Maple St,ObK,73099.0,(405) 354-2587,(405) 54-4208,ww.yukonps.com,W. Jason Simeroth,jason.simeroth@yukonps.com,Leonard Wells
ZANEIS,CARTER,1r0-C072,Wlison,30515 Us Highway 70,OK,73463.0,(580) 668-2955,(580) 668-2114,www.dbschool.org,Ryan Cole,zaeis@zaneis.k12.ok.us,Lindsay Southwarhd
ZION,ADAIR,01-C028,Stilwell,Route 1 ion Road,OK,74960.0,(918)6 96-7866,(918) 696-626,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Horan
