districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
WATTS,ADAIR,01-I004,Watts,"Rural Route 2, Box 1",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@wattsschool.com,Melissa Reynolds
WAUKOMIS,GARFIELD,24-I001,Waukomis,209 West Locust,OK,73773.0,(580) 758-3247,(580) 758-3834,www.waukomis.k12.ok.us,Shawn Tennyson,shawntennyson@waukomis.k12.ok.us,Linda Mcelroy
WAURIKA,JEFFERSON,34-I023,Waurika,600 East Florida Ave.,OK,73573.0,(580) 228-3373,(580) 228-3428,www.waurikaschools.org,Roxie Terry,rterry@waurikaschools.org,Kimberly Gholson
WAYNE,MCCLAIN,47-I010,Wayne,212 South Seifried St,OK,73095.0,(405) 449-3646,(405) 449-7095,www.wayne.k12.ok.us,David Powell,zacpowell@wayne.k12.ok.us,Junior Welch
WAYNOKA,WOODS,76-I003,Waynoka,2134 Lincoln St,OK,73860.0,(580) 824-6561,(580) 824-0656,www.waynoka.k12.ok.us,Loren Tackett,ltackett@waynoka.k12.ok.us,Marinda Zook
WEATHERFORD,CUSTER,20-I026,Weatherford,516 North Broadway St,OK,73096.0,(580) 772-3327,(580) 774-0821,www.wpsok.org,Chad Wilson,cwilson@wpsok.org,Michelle Stephens
WEBBERS FALLS,MUSKOGEE,51-I006,Webbers Falls,206 Gibson St.,OK,74470.0,(918) 464-2334,() -,www.webbersfalls.k12.ok.us,Dixie Swearingen,dswearingen@webbersfalls.k12.ok.us,Terry Hayes
WELCH,CRAIG,18-I017,Welch,707 S Curtis St,OK,74369.0,(918) 788-3129,(918) 788-3734,www.welchwildcats.net,R. Clark Mckeon,cmckeon@welchwildcats.net,Cathey Forrest
WELEETKA,OKFUSKEE,54-I031,Weleetka,302 E. 6Th,OK,74880.0,(405) 786-2203,(405) 786-2625,www.weleetka.k12.ok.us,Chris Carter,ccarter@weleetka.k12.ok.us,Roger Birdcreek
WELLSTON,LINCOLN,41-I004,Wellston,800 Birch,OK,74881.0,(405) 356-2534,(405) 356-2838,www.wellstonschools.org,Dwayne Danker,ddanker@wellstonschools.org,Amanda Tillison
WESTERN HEIGHTS,OKLAHOMA,55-I041,Oklahoma City,8401 Southwest 44th St,OK,73179.0,(405) 350-3410,(405) 745-6322,www.westernheights.k12.ok.us,Joe Kitchens,joe.kitchens@westernheights.k12.ok.us,Jann Davenport
WESTVILLE,ADAIR,01-I011,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
WETUMKA,HUGHES,32-I005,Wetumka,416 South Tiger St,OK,74883.0,(405) 452-5150,(405) 452-3052,www.wetumka.k12.ok.us,Donna Mcgee,dmcgee@wetumka.k12.ok.us,Rufus Scott
WEWOKA,SEMINOLE,67-I002,Wewoka,300 W 10Th,OK,74884.0,(405) 257-5475,(405) 257-2303,www.wps.k12.ok.us,Torrey Gaines,tgaines@wps.k12.ok.us,Michael Weatherly
WHITE OAK,CRAIG,18-C001,Vinita,27355 South 4340 Road,OK,74301.0,(918) 256-4484,(918) 256-4486,www.dbcschool.org,Richard Mcspadden,rmcspadden@whiteoakschool.net,Bill Kelsey
WHITE ROCK,LINCOLN,41-C005,Mcloud,334998 East 1010 Road,OK,74851.0,(405) 964-3428,(405) 964-3427,www.whiterock.k12.ok.us,Travis Gates,tgates@whiterock.k12.ok.us,Randy Sherman
WHITEBEAD,GARVIN,25-C016,Pauls Valley,16476 North County Road 3200,OK,73075.0,(405) 238-3021,(405) 238-6258,www.whitebead.org,Mary Smith,msmith@wbead.k12.ok.us,Brent Thompson
WHITEFIELD,HASKELL,31-C010,Whitefield,107 South Redding,OK,74472.0,(918) 967-8572,(918) 967-0007,www.whitefield.k12.ok.us,Scott Shepherd,sshepherd@whitefield.k12.ok.us,Royce Alverson
WHITESBORO,LE FLORE,40-I062,Whitesboro,35069 St Hwy 63,OK,74577.0,(918) 567-2556,(918) 567-2842,whitesborops.k12.ok.us,Katie Blagg,kblagg@whitesboro.k12.ok.us,Russell Barron
WICKLIFFE,MAYES,46-C035,Salina,11176 East 470,OK,74365.0,(918) 434-5558,(918) 434-3592,www.wickliffeschool.com,Teresia Knott,teresia.knott@wickliffeschool.com,Stephanie Beck
WILBURTON,LATIMER,39-I001,Wilburton,1201 West Blair Ave.,OK,74578.0,(918) 465-2100,(918) 465-3086,www.wilburtondiggers.org,Beatrice Butler,trice.butler@wilburtondiggers.org,Charles Adams
WILSON,CARTER,10-I043,Wilson,1860 Hewitt Road,OK,73463.0,(580) 668-2306,(580) 668-2170,www.wilson.k12.ok.us,Eric Smith,esmith@wilson.k12.ok.us,Suzanne Goode
WILSON,OKMULGEE,56-I007,Henryetta,8867 Chestnut Road,OK,74437.0,(918) 652-3374,(918) 652-8140,www.dbcschool.org,Andrea James,ajames@wpstigers.k12.ok.us,Jimmy Floyd
WISTER,LE FLORE,40-I049,Wister,201 Logan St,OK,74966.0,(918) 655-7381,(918) 655-7402,www.wisterschools.org,Rachel Pugh,rachel.pugh@wisterschools.org,Leon Mitchell
WOODALL,CHEROKEE,11-C021,Tahlequah,14090 West 835 Road,OK,74464.0,(918) 458-5444,(918) 456-5015,www.woodall.k12.ok.us,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedico
WOODLAND,OSAGE,57-I090,Fairfax,100 North 6th St,OK,74637.0,(918) 642-3297,(918) 642-1355,www.woodland.k12.ok.us/,Todd Kimrey,tkimrey@woodland.k12.ok.us,Kyle Welch
WOODWARD,WOODWARD,77-I001,Woodward,1023 10th St,OK,73802.0,(580) 256-6063,(580) 256-4391,www.woodwardps.net,Kyle Reynolds,reynolds@woodwardps.net,Glenn Billings
WRIGHT CITY,MCCURTAIN,48-I039,Wright City,601 School St,OK,74766.0,(580) 981-2824,(580) 981-2115,www.wcisd.org,David Hawkins,dhawkins@wcisd.org,James Carper
WYANDOTTE,OTTAWA,58-I001,Wyandotte,5 South 1st St,OK,74370.0,(918) 678-2255,(918) 678-2304,www.wyandotte.k12.ok.us,Troy Gray,tgray@wyandotte.k12.ok.us,Russell Mccloud
WYNNEWOOD,GARVIN,25-I038,Wynnewood,702 East Robert S. Kerr Blvd.,OK,73098.0,(405) 665-2004,(405) 665-5425,www.wynnewood.k12.ok.us,Raymond Cole,rcole@wynnewood.k12.ok.us,Jamie Williamson
WYNONA,OSAGE,57-I030,Wynona,108 W. Third,OK,74084.0,(918) 846-2467,(918) 846-2883,www.wynona.k12.ok.us,Shelly Shulanberger,sshulanberger@wynona.k12.ok.us,Katherine Hollowell
YALE,PAYNE,60-I103,Yale,315 East Chicago Ave.,OK,74085.0,(918) 387-2434,(918) 387-2503,www.yale.k12.ok.us,Dale Bledsoe,dbledsoe@yale.k12.ok.us,Becki Foster
YARBROUGH,TEXAS,70-I001,Goodwell,8 Mi S On Hwy 95,OK,73939.0,(580) 545-3327,(580) 545-3392,www.yarbrough.k12.ok.us,Jim Wiggin,jwiggin@yarbrough.k12.ok.us,James Oswald
YUKON,CANADIAN,09-I027,Yukon,600 Maple St,OK,73099.0,(405) 354-2587,(405) 354-4208,www.yukonps.com,W. Jason Simeroth,jason.simeroth@yukonps.com,Leonard Wells
ZANEIS,CARTER,10-C072,Wilson,30515 Us Highway 70,OK,73463.0,(580) 668-2955,(580) 668-2114,www.dbcschool.org,Ryan Cole,zaneis@zaneis.k12.ok.us,Lindsay Southward
ZION,ADAIR,01-C028,Stilwell,Route 1 Zion Road,OK,74960.0,(918) 696-7866,(918) 696-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Horn
