full_street_name,street_name,street_type,post_direction
UNNAMED 010,UNNAMED 010,NULL,NULL
UNNAMED 011,UNNAMED 011,NULL,NULL
UNNAMED 012,UNNAMED 012,NULL,NULL
UNNAMED 014,UNNAMED 014,NULL,NULL
UNNAMED 017,UNNAMED 017,NULL,NULL
UNNAMED 018,UNNAMED 018,NULL,NULL
UNNAMED 021,UNNAMED 021,NULL,NULL
UNNAMED 024,UNNAMED 024,NULL,NULL
UNNAMED 025,UNNAMED 025,NULL,NULL
UNNAMED 026,UNNAMED 026,NULL,NULL
UNNAMED 027,UNNAMED 027,NULL,NULL
UNNAMED 030,UNNAMED 030,NULL,NULL
UNNAMED 031,UNNAMED 031,NULL,NULL
UNNAMED 032,UNNAMED 032,NULL,NULL
UNNAMED 033,UNNAMED 033,NULL,NULL
UNNAMED 034,UNNAMED 034,NULL,NULL
UNNAMED 035,UNNAMED 035,NULL,NULL
UNNAMED 036,UNNAMED 036,NULL,NULL
UNNAMED 037,UNNAMED 037,NULL,NULL
UNNAMED 038,UNNAMED 038,NULL,NULL
UNNAMED 039,UNNAMED 039,NULL,NULL
UNNAMED 040,UNNAMED 040,NULL,NULL
UNNAMED 041,UNNAMED 041,NULL,NULL
UNNAMED 042,UNNAMED 042,NULL,NULL
UNNAMED 043,UNNAMED 043,NULL,NULL
UNNAMED 044,UNNAMED 044,NULL,NULL
UNNAMED 051,UNNAMED 051,NULL,NULL
UNNAMED 052,UNNAMED 052,NULL,NULL
UNNAMED 053,UNNAMED 053,NULL,NULL
UNNAMED 064,UNNAMED 064,NULL,NULL
UNNAMED 065,UNNAMED 065,NULL,NULL
UNNAMED 068,UNNAMED 068,NULL,NULL
UNNAMED 069,UNNAMED 069,NULL,NULL
UNNAMED 070,UNNAMED 070,NULL,NULL
UNNAMED 071,UNNAMED 071,NULL,NULL
UNNAMED 075,UNNAMED 075,NULL,NULL
UNNAMED 077,UNNAMED 077,NULL,NULL
UNNAMED 078,UNNAMED 078,NULL,NULL
UNNAMED 080,UNNAMED 080,NULL,NULL
UNNAMED 083,UNNAMED 083,NULL,NULL
UNNAMED 084,UNNAMED 084,NULL,NULL
UNNAMED 087,UNNAMED 087,NULL,NULL
UNNAMED 088,UNNAMED 088,NULL,NULL
UNNAMED 090,UNNAMED 090,NULL,NULL
UNNAMED 095,UNNAMED 095,NULL,NULL
UNNAMED 096,UNNAMED 096,NULL,NULL
UNNAMED 097,UNNAMED 097,NULL,NULL
UNNAMED 098,UNNAMED 098,NULL,NULL
UNNAMED 099,UNNAMED 099,NULL,NULL
UNNAMED 100,UNNAMED 100,NULL,NULL
UNNAMED 101,UNNAMED 101,NULL,NULL
UNNAMED 105,UNNAMED 105,NULL,NULL
UNNAMED 106,UNNAMED 106,NULL,NULL
UNNAMED 107,UNNAMED 107,NULL,NULL
UNNAMED 108,UNNAMED 108,NULL,NULL
UNNAMED 112,UNNAMED 112,NULL,NULL
UNNAMED 113,UNNAMED 113,NULL,NULL
UNNAMED 115,UNNAMED 115,NULL,NULL
UNNAMED 117,UNNAMED 117,NULL,NULL
UNNAMED 119,UNNAMED 119,NULL,NULL
UNNAMED 120,UNNAMED 120,NULL,NULL
UNNAMED 124,UNNAMED 124,NULL,NULL
UNNAMED 128,UNNAMED 128,NULL,NULL
UNNAMED 129,UNNAMED 129,NULL,NULL
UNNAMED 139,UNNAMED 139,NULL,NULL
UNNAMED 142,UNNAMED 142,NULL,NULL
UNNAMED 144,UNNAMED 144,NULL,NULL
UNNAMED 145,UNNAMED 145,NULL,NULL
UNNAMED 146,UNNAMED 146,NULL,NULL
UNNAMED 148,UNNAMED 148,NULL,NULL
UNNAMED 150,UNNAMED 150,NULL,NULL
UNNAMED 151,UNNAMED 151,NULL,NULL
UNNAMED 152,UNNAMED 152,NULL,NULL
UNNAMED 153,UNNAMED 153,NULL,NULL
UNNAMED 161,UNNAMED 161,NULL,NULL
UNNAMED 163,UNNAMED 163,NULL,NULL
UNNAMED 165,UNNAMED 165,NULL,NULL
UNNAMED 185,UNNAMED 185,NULL,NULL
UNNAMED 186,UNNAMED 186,NULL,NULL
UNNAMED 187,UNNAMED 187,NULL,NULL
UNNAMED 188,UNNAMED 188,NULL,NULL
UNNAMED 2,UNNAMED 2,NULL,NULL
UPLAND DR,UPLAND,DR,NULL
UPPER TER,UPPER,TER,NULL
UPPER SERVICE RD,UPPER SERVICE,RD,NULL
UPTON AVE,UPTON,AVE,NULL
UPTON ST,UPTON,ST,NULL
URANUS TER,URANUS,TER,NULL
URBANO DR,URBANO,DR,NULL
UTAH ST,UTAH,ST,NULL
VALDEZ AVE,VALDEZ,AVE,NULL
VALE AVE,VALE,AVE,NULL
VALENCIA ST,VALENCIA,ST,NULL
VALERTON CT,VALERTON,CT,NULL
VALLEJO ST,VALLEJO,ST,NULL
VALLETTA CT,VALLETTA,CT,NULL
VALLEY ST,VALLEY,ST,NULL
VALMAR TER,VALMAR,TER,NULL
VALPARAISO ST,VALPARAISO,ST,NULL
VAN BUREN ST,VAN BUREN,ST,NULL
VAN DYKE AVE,VAN DYKE,AVE,NULL
VAN KEUREN AVE,VAN KEUREN,AVE,NULL
VAN NESS AVE,VAN NESS,AVE,NULL
VANDEWATER ST,VANDEWATER,ST,NULL
CRAVATH ST,CRAVATH,ST,NULL
VARELA AVE,VARELA,AVE,NULL
VARENNES ST,VARENNES,ST,NULL
VARNEY PL,VARNEY,PL,NULL
VASQUEZ AVE,VASQUEZ,AVE,NULL
VASSAR PL,VASSAR,PL,NULL
VEGA ST,VEGA,ST,NULL
VELASCO AVE,VELASCO,AVE,NULL
VENARD ALY,VENARD,ALY,NULL
VENTURA AVE,VENTURA,AVE,NULL
VENUS ST,VENUS,ST,NULL
VER MEHR PL,VER MEHR,PL,NULL
VERDI PL,VERDI,PL,NULL
VERDUN WAY,VERDUN,WAY,NULL
VERMONT ST,VERMONT,ST,NULL
VERNA ST,VERNA,ST,NULL
VERNON ST,VERNON,ST,NULL
VESTA ST,VESTA,ST,NULL
VETERANS DR,VETERANS,DR,NULL
VIA BUFANO,VIA BUFANO,NULL,NULL
VIA FERLINGHETTI,VIA FERLINGHETTI,NULL,NULL
VICENTE ST,VICENTE,ST,NULL
VICKSBURG ST,VICKSBURG,ST,NULL
VICTORIA ST,VICTORIA,ST,NULL
VIDAL DR,VIDAL,DR,NULL
VIENNA ST,VIENNA,ST,NULL
VILLA TER,VILLA,TER,NULL
VINE TER,VINE,TER,NULL
VINTON CT,VINTON,CT,NULL
VIRGIL ST,VIRGIL,ST,NULL
VIRGINIA AVE,VIRGINIA,AVE,NULL
VISITACION AVE,VISITACION,AVE,NULL
VISTA CT,VISTA,CT,NULL
VISTA LN,VISTA,LN,NULL
VISTA VERDE CT,VISTA VERDE,CT,NULL
VISTA VIEW CT,VISTA VIEW,CT,NULL
VON SCHMIDT ST,VON SCHMIDT,ST,NULL
VULCAN STWY,VULCAN,STWY,NULL
WABASH TER,WABASH,TER,NULL
WAGNER ALY,WAGNER,ALY,NULL
WAITHMAN WAY,WAITHMAN,WAY,NULL
WALBRIDGE ST,WALBRIDGE,ST,NULL
WALDO ALY,WALDO,ALY,NULL
WALKER CT,WALKER,CT,NULL
WALKWAY,WALKWAY,NULL,NULL
WALL PL,WALL,PL,NULL
WALLACE AVE,WALLACE,AVE,NULL
WALLEN ST,WALLEN,ST,NULL
WALLER ST,WALLER,ST,NULL
WALNUT ST,WALNUT,ST,NULL
WALTER ST,WALTER,ST,NULL
WALTER U LUM PL,WALTER U LUM,PL,NULL
WALTHAM ST,WALTHAM,ST,NULL
WANDA ST,WANDA,ST,NULL
WARD ST,WARD,ST,NULL
WARE ST,WARE,ST,NULL
WARNER PL,WARNER,PL,NULL
WARREN DR,WARREN,DR,NULL
WASHBURN ST,WASHBURN,ST,NULL
WASHINGTON BLVD,WASHINGTON,BLVD,NULL
WASHINGTON ST,WASHINGTON,ST,NULL
WATCHMAN WAY,WATCHMAN,WAY,NULL
WATER ST,WATER,ST,NULL
WATERLOO ST,WATERLOO,ST,NULL
WATERVILLE ST,WATERVILLE,ST,NULL
WATT AVE,WATT,AVE,NULL
WATTSON PL,WATTSON,PL,NULL
WAVERLY PL,WAVERLY,PL,NULL
WAWONA ST,WAWONA,ST,NULL
WAYLAND ST,WAYLAND,ST,NULL
WAYNE PL,WAYNE,PL,NULL
WEBB PL,WEBB,PL,NULL
WEBSTER ST,WEBSTER,ST,NULL
WEDEMEYER ST,WEDEMEYER,ST,NULL
WELDON ST,WELDON,ST,NULL
WELSH ST,WELSH,ST,NULL
WENTWORTH PL,WENTWORTH,PL,NULL
WEST RD,WEST,RD,NULL
WEST BROADWAY,WEST BROADWAY,NULL,NULL
WEST CLAY ST,WEST CLAY,ST,NULL
WEST CRYSTAL COVE TER,WEST CRYSTAL COVE,TER,NULL
WEST HALLECK ST,WEST HALLECK,ST,NULL
WEST PACIFIC AVE,WEST PACIFIC,AVE,NULL
WEST POINT RD,WEST POINT,RD,NULL
WEST PORTAL AVE,WEST PORTAL,AVE,NULL
WEST VIEW AVE,WEST VIEW,AVE,NULL
WESTBROOK CT,WESTBROOK,CT,NULL
WESTERN SHORE LN,WESTERN SHORE,LN,NULL
WESTGATE DR,WESTGATE,DR,NULL
WESTMOORLAND DR,WESTMOORLAND,DR,NULL
WESTON CT,WESTON,CT,NULL
WESTSIDE DR,WESTSIDE,DR,NULL
WESTWOOD DR,WESTWOOD,DR,NULL
WETMORE ST,WETMORE,ST,NULL
WHEAT ST,WHEAT,ST,NULL
WHEELER AVE,WHEELER,AVE,NULL
WHIPPLE AVE,WHIPPLE,AVE,NULL
WHITE ST,WHITE,ST,NULL
WHITECLIFF WAY,WHITECLIFF,WAY,NULL
WHITFIELD CT,WHITFIELD,CT,NULL
WHITING ST,WHITING,ST,NULL
WHITING WAY,WHITING,WAY,NULL
WHITNEY ST,WHITNEY,ST,NULL
WHITNEY YOUNG CIR,WHITNEY YOUNG,CIR,NULL
WHITTIER ST,WHITTIER,ST,NULL
WIESE ST,WIESE,ST,NULL
WILDE AVE,WILDE,AVE,NULL
WILDER ST,WILDER,ST,NULL
WILDWOOD WAY,WILDWOOD,WAY,NULL
WILLARD ST,WILLARD,ST,NULL
WILLIAMS AVE,WILLIAMS,AVE,NULL
WILLIAR AVE,WILLIAR,AVE,NULL
WILLIE B KENNEDY DR,WILLIE B KENNEDY,DR,NULL
WILLOW ST,WILLOW,ST,NULL
WILLS ST,WILLS,ST,NULL
WILMOT ST,WILMOT,ST,NULL
WILSON ST,WILSON,ST,NULL
WINDING WAY,WINDING,WAY,NULL
WINDSOR PL,WINDSOR,PL,NULL
WINFIELD ST,WINFIELD,ST,NULL
WINN WAY,WINN,WAY,NULL
WINSTON DR,WINSTON,DR,NULL
WINTER PL,WINTER,PL,NULL
WINTHROP ST,WINTHROP,ST,NULL
WISCONSIN ST,WISCONSIN,ST,NULL
WISSER CT,WISSER,CT,NULL
WOOD ST,WOOD,ST,NULL
WOODACRE DR,WOODACRE,DR,NULL
WOODHAVEN CT,WOODHAVEN,CT,NULL
WOODLAND AVE,WOODLAND,AVE,NULL
WOODSIDE AVE,WOODSIDE,AVE,NULL
WOODWARD ST,WOODWARD,ST,NULL
WOOL CT,WOOL,CT,NULL
WOOL ST,WOOL,ST,NULL
WOOLSEY ST,WOOLSEY,ST,NULL
WORCESTER AVE,WORCESTER,AVE,NULL
WORDEN ST,WORDEN,ST,NULL
WORTH ST,WORTH,ST,NULL
WRIGHT CT,WRIGHT,CT,NULL
WRIGHT LOOP,WRIGHT,LOOP,NULL
WRIGHT ST,WRIGHT,ST,NULL
WYMAN AVE,WYMAN,AVE,NULL
WYTON LN,WYTON,LN,NULL
YACHT RD,YACHT,RD,NULL
YALE ST,YALE,ST,NULL
YELLOW CAB ACCESS ROAD,YELLOW CAB ACCESS ROAD,NULL,NULL
YERBA BUENA AVE,YERBA BUENA,AVE,NULL
YERBA BUENA DR,YERBA BUENA,DR,NULL
YERBA BUENA LN,YERBA BUENA,LN,NULL
YERBA BUENA RD,YERBA BUENA,RD,NULL
YORBA ST,YORBA,ST,NULL
YORK ST,YORK,ST,NULL
YOSEMITE AVE,YOSEMITE,AVE,NULL
YOUNG CT,YOUNG,CT,NULL
YOUNG ST,YOUNG,ST,NULL
YUKON ST,YUKON,ST,NULL
ZAMPA LN,ZAMPA,LN,NULL
ZANOWITZ AVE,ZANOWITZ,AVE,NULL
AVOCET WAY,AVOCET,WAY,NULL
ZENO PL,ZENO,PL,NULL
ZIRCON PL,ZIRCON,PL,NULL
ZOE ST,ZOE,ST,NULL
ZOO RD,ZOO,RD,NULL
DR TOM WADDELL PL,DR TOM WADDELL,PL,NULL
AL SCOMA WAY,AL SCOMA,WAY,NULL
UNNAMED 190,UNNAMED 190,NULL,NULL
UNNAMED 193,UNNAMED 193,NULL,NULL
UNNAMED 192,UNNAMED 192,NULL,NULL
PALACE DR,PALACE,DR,NULL
MARTIN AVE,MARTIN,AVE,NULL
MISSION BAY BLVD SOUTH,MISSION BAY,BLVD,SOUTH
BUENA VISTA AVE EAST,BUENA VISTA,AVE,EAST
CONSERVATORY DR EAST,CONSERVATORY,DR,EAST
BURNETT AVE NORTH,BURNETT,AVE,NORTH
LAKE MERCED HILL ST NORTH,LAKE MERCED HILL,ST,NORTH
BUENA VISTA AVE WEST,BUENA VISTA,AVE,WEST
WILLARD ST NORTH,WILLARD,ST,NORTH
FIRST DR EAST,FIRST,DR,EAST
LAKE MERCED HILL ST SOUTH,LAKE MERCED HILL,ST,SOUTH
MISSION BAY BLVD NORTH,MISSION BAY,BLVD,NORTH
25TH AVE NORTH,25TH,AVE,NORTH
CONSERVATORY DR WEST,CONSERVATORY,DR,WEST
FIRST DR WEST,FIRST,DR,WEST
ZANOWITZ ST,ZANOWITZ,ST,NULL
AVENUE G,AVENUE G,NULL,NULL
ODD FELLOWS WAY,ODD FELLOWS,WAY,NULL
JOHNSON ST,JOHNSON,ST,NULL
MACKY LN,MACKY,LN,NULL
FRIDA KAHLO WAY,FRIDA KAHLO,WAY,NULL
WARRIORS WAY,WARRIORS,WAY,NULL
SANDPIPER LN,SANDPIPER,LN,NULL
PALM LN,PALM,LN,NULL
WHIPPLE ST,WHIPPLE,ST,NULL
FIFTH ST,FIFTH,ST,NULL
CORRINE WOODS WAY,CORRINE WOODS,WAY,NULL
EARL GAGE JR ST,EARL GAGE JR,ST,NULL
MISSION CREEK,MISSION CREEK,NULL,NULL
CLIPPER COVE AVE,CLIPPER COVE,AVE,NULL
GENE FRIEND WAY,GENE FRIEND,WAY,NULL
MILTON I ROSS ST,MILTON I ROSS,ST,NULL
ACACIA AVE,ACACIA,AVE,NULL
PIERPOINT LN,PIERPOINT,LN,NULL
WREN LN,WREN,LN,NULL
TRADE WINDS AVE,TRADE WINDS,AVE,NULL
WATERFRONT ST,WATERFRONT,ST,NULL
VARA ST,VARA,ST,NULL
UNNAMED ST,UNNAMED,ST,NULL
SOTOMAYOR ST,SOTOMAYOR,ST,NULL
SEVEN SEAS AVE,SEVEN SEAS,AVE,NULL
PEACEMAKERS ST,PEACEMAKERS,ST,NULL
UNNAMED 191,UNNAMED 191,NULL,NULL
PACIFICA ST,PACIFICA,ST,NULL
SIESTA WAY,SIESTA,WAY,NULL
KENNEDY PL,KENNEDY,PL,NULL
MALOSI ST,MALOSI,ST,NULL
INNES CT,INNES,CT,NULL
GARDEN WALK,GARDEN,WALK,NULL
LETTUCE LN,LETTUCE,LN,NULL
PASSIFLORA WAY,PASSIFLORA,WAY,NULL
PORTWAY PSGE,PORTWAY,PSGE,NULL
